"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000000003"	"ENSG00000000003"	-0.484066368686771	7.28465220800909	-3.34677432965734	0.00141949869035333	0.00475195403034459	-2.16187895853436
"ENSG00000000419"	"ENSG00000000419"	0.873719244471474	6.19819554487179	6.61306316933785	1.16618180757811e-08	1.86879274421226e-07	9.29632714895734
"ENSG00000000457"	"ENSG00000000457"	-1.04218231102066	4.33190539259579	-7.70591464689627	1.61302171726336e-10	4.45591843825246e-09	13.6899528581889
"ENSG00000000460"	"ENSG00000000460"	0.0927741398775458	5.16910691018931	0.676951662900159	0.501053682448178	0.60222292592395	-6.96350576680542
"ENSG00000001036"	"ENSG00000001036"	0.567635145427507	6.21708113716122	3.9949891711286	0.000180219391599237	0.000811617399929432	-0.141721913503964
"ENSG00000001084"	"ENSG00000001084"	0.340320010946226	6.80650581196306	3.31879105160273	0.00154486490194461	0.00511513108921504	-2.21299429130013
"ENSG00000001167"	"ENSG00000001167"	-0.0820991243973461	5.19313153724682	-0.503368174111321	0.616559370051603	0.705186785327086	-7.03359584056403
"ENSG00000001461"	"ENSG00000001461"	-0.0100665125695731	3.71214760827556	-0.0374233104753452	0.970272456813158	0.980357657874365	-6.98254950499246
"ENSG00000001497"	"ENSG00000001497"	0.634424669803357	6.77507184662415	7.10452990478969	1.70713025221634e-09	3.4289025572782e-08	11.158690429196
"ENSG00000001561"	"ENSG00000001561"	-1.0897036161578	3.17346247327156	-6.02193365818793	1.14989394488897e-07	1.3494882924984e-06	7.35483864969256
"ENSG00000001617"	"ENSG00000001617"	-0.187398529602222	6.61228160108006	-0.863600303772758	0.391266967593153	0.499642438230245	-6.91090334859138
"ENSG00000001629"	"ENSG00000001629"	0.324264938435729	6.45130674848722	2.3987470025996	0.019595205561465	0.0441234698656765	-4.52461590065112
"ENSG00000001630"	"ENSG00000001630"	-0.582049203874633	6.14131858592896	-2.33056917865439	0.0231764404037399	0.0505846307816428	-4.6336106508685
"ENSG00000001631"	"ENSG00000001631"	0.195796092415309	5.51224517308736	1.61501918893873	0.111584525651429	0.185865980005225	-5.9245158774841
"ENSG00000002330"	"ENSG00000002330"	-0.834152394543828	4.0858899268447	-4.23550680938429	8.00916814399313e-05	0.000403355173781551	0.905699935274758
"ENSG00000002549"	"ENSG00000002549"	-0.865149580762704	6.64061248586001	-7.33142084499331	7.01166504176479e-10	1.5774715412739e-08	12.0381228899327
"ENSG00000002822"	"ENSG00000002822"	0.0477670742896733	5.75227820424575	0.330083845190277	0.742493149059451	0.80899327565915	-7.17819944309551
"ENSG00000002834"	"ENSG00000002834"	0.0924334647862448	9.24284425562326	0.578398211970278	0.565172887287268	0.660265468322903	-7.22039460550596
"ENSG00000002919"	"ENSG00000002919"	-0.512919283828259	5.43057610786751	-6.35979321718319	3.12132990475126e-08	4.44680095398693e-07	8.37287584974746
