"genes"	"logFC"	"adj.P.Val"
"ENSG00000000419"	"ENSG00000000419"	-0.828686627729874	8.60322401800306e-06
"ENSG00000000457"	"ENSG00000000457"	1.17774893810145	1.23717171399366e-09
"ENSG00000000460"	"ENSG00000000460"	-0.535164861309209	0.0138181003962573
"ENSG00000001036"	"ENSG00000001036"	-0.799018089064186	9.29180224500855e-05
"ENSG00000001497"	"ENSG00000001497"	-0.898131937526475	1.15366796415704e-10
"ENSG00000001561"	"ENSG00000001561"	0.536081205542803	0.02876822821048
"ENSG00000002330"	"ENSG00000002330"	0.480715071952925	0.0451382319093996
"ENSG00000002549"	"ENSG00000002549"	0.34111106066146	0.044216592268002
"ENSG00000002919"	"ENSG00000002919"	0.465136960203975	3.18353646738232e-05
"ENSG00000003096"	"ENSG00000003096"	2.08264315086713	3.710710023046e-09
"ENSG00000003147"	"ENSG00000003147"	-1.6009245296774	0.000104738594929208
"ENSG00000003400"	"ENSG00000003400"	1.15975488792219	7.0077450362738e-05
"ENSG00000003402"	"ENSG00000003402"	1.12520881118931	7.0077450362738e-05
"ENSG00000003509"	"ENSG00000003509"	-0.971618267449284	0.00327511982787754
"ENSG00000004399"	"ENSG00000004399"	-2.09969145270381	5.99308109190363e-06
"ENSG00000004478"	"ENSG00000004478"	-0.835949226510934	0.000813871938702474
"ENSG00000004700"	"ENSG00000004700"	-0.289503606954002	0.033507413081157
"ENSG00000004864"	"ENSG00000004864"	0.322430185778973	0.0430574892251715
"ENSG00000004866"	"ENSG00000004866"	-0.614619799280971	0.0182029906311509
"ENSG00000004897"	"ENSG00000004897"	0.252052986132195	0.0493307441980457
"ENSG00000004948"	"ENSG00000004948"	3.48579334934505	3.33921531106942e-09
"ENSG00000004975"	"ENSG00000004975"	0.388715582503691	0.00516022115958701
"ENSG00000005022"	"ENSG00000005022"	-0.577191499167113	0.00641759458556419
"ENSG00000005156"	"ENSG00000005156"	-0.362440166180119	0.00634585774551265
"ENSG00000005175"	"ENSG00000005175"	-0.545915908996692	7.46046392890673e-05
"ENSG00000005187"	"ENSG00000005187"	1.17668781047588	4.34684575161263e-06
"ENSG00000005189"	"ENSG00000005189"	1.47087685386178	1.09591814725582e-08
"ENSG00000005238"	"ENSG00000005238"	0.402401748878143	0.0484492632333939
"ENSG00000005483"	"ENSG00000005483"	0.550319385194122	0.00213417952563323
"ENSG00000005700"	"ENSG00000005700"	0.284441930240508	0.0469985776844656
"ENSG00000005801"	"ENSG00000005801"	-0.334835734633054	0.0441483624920731
"ENSG00000005882"	"ENSG00000005882"	-0.89474456320316	0.0022743202606855
"ENSG00000005884"	"ENSG00000005884"	-1.69447188900319	0.00743806241255753
"ENSG00000005893"	"ENSG00000005893"	-0.691571123544459	5.58585469218095e-05
"ENSG00000006007"	"ENSG00000006007"	0.408624459499892	0.0148848110683606
"ENSG00000006015"	"ENSG00000006015"	0.992581587936267	0.000270669566095886
"ENSG00000006042"	"ENSG00000006042"	-1.1144799627695	7.39675345862353e-06
"ENSG00000006062"	"ENSG00000006062"	-0.62648188717858	0.0179132070644586
"ENSG00000006118"	"ENSG00000006118"	0.794521290558209	2.21613653508047e-05
"ENSG00000006194"	"ENSG00000006194"	-0.397075851791579	0.00317538403308316
"ENSG00000006282"	"ENSG00000006282"	0.736562074438281	0.00938584081156468
