"genes"	"logFC"	"adj.P.Val"
"ENSG00000000003"	"ENSG00000000003"	0.700995445187342	1.39291905915339e-05
"ENSG00000000419"	"ENSG00000000419"	0.269005756109139	0.0504515123308311
"ENSG00000000457"	"ENSG00000000457"	-0.329636117961602	0.0297951989850038
"ENSG00000000460"	"ENSG00000000460"	0.423485960709437	0.00377153717218287
"ENSG00000001036"	"ENSG00000001036"	-0.241501897521335	0.135433603683
"ENSG00000001084"	"ENSG00000001084"	-0.204012799888622	0.0538805373147116
"ENSG00000001167"	"ENSG00000001167"	0.119693989573623	0.509242642301538
"ENSG00000001461"	"ENSG00000001461"	-0.464157002363582	0.189187133053975
"ENSG00000001497"	"ENSG00000001497"	0.165562606226589	0.0891702699532033
"ENSG00000001561"	"ENSG00000001561"	-0.0938596472022999	0.726588480659413
"ENSG00000001617"	"ENSG00000001617"	0.0573117572684811	0.853983776650813
"ENSG00000001629"	"ENSG00000001629"	-0.0797490224624378	0.590420488647162
"ENSG00000001630"	"ENSG00000001630"	-0.305844332595658	0.250319282125013
"ENSG00000001631"	"ENSG00000001631"	-0.0846750527617059	0.523956883288249
"ENSG00000002330"	"ENSG00000002330"	-0.369795404651074	0.0878383582082191
"ENSG00000002549"	"ENSG00000002549"	0.593576566033589	2.81454331632176e-05
"ENSG00000002822"	"ENSG00000002822"	-0.225883992161247	0.138311936927293
"ENSG00000002834"	"ENSG00000002834"	-0.314513211916172	0.104563641489033
"ENSG00000002919"	"ENSG00000002919"	0.0902699524244168	0.331218221027635
"ENSG00000003056"	"ENSG00000003056"	0.263826051210977	0.0541856301811698
"ENSG00000003096"	"ENSG00000003096"	0.894667721579616	0.000929384162258895
"ENSG00000003147"	"ENSG00000003147"	0.0684756533935111	0.846446545067959
"ENSG00000003393"	"ENSG00000003393"	-0.561979035424666	3.52637421466144e-05
"ENSG00000003400"	"ENSG00000003400"	-1.00917901357103	0.00049599078938454
"ENSG00000003402"	"ENSG00000003402"	-2.52751118668498	3.48092318682988e-12
"ENSG00000003509"	"ENSG00000003509"	-0.33104590712575	0.180042619858547
"ENSG00000003756"	"ENSG00000003756"	-0.33068969216727	0.0636800919681572
"ENSG00000003989"	"ENSG00000003989"	0.049289669492953	0.9466839804257
"ENSG00000004059"	"ENSG00000004059"	0.0172262557114884	0.937065964566864
"ENSG00000004142"	"ENSG00000004142"	0.386867430081415	0.00134855667831765
"ENSG00000004399"	"ENSG00000004399"	-0.28598237883269	0.405069299458701
"ENSG00000004455"	"ENSG00000004455"	0.435655352411662	0.00140594295258228
"ENSG00000004478"	"ENSG00000004478"	0.625331705253704	0.000752097302742169
"ENSG00000004487"	"ENSG00000004487"	0.588172062496037	7.05385482814723e-06
"ENSG00000004534"	"ENSG00000004534"	-0.087509625028857	0.653766223470667
"ENSG00000004660"	"ENSG00000004660"	-0.731904245089519	0.0220981741087716
"ENSG00000004700"	"ENSG00000004700"	0.0243048154340411	0.846692871638329
"ENSG00000004766"	"ENSG00000004766"	0.220626283317781	0.175135259730061
"ENSG00000004777"	"ENSG00000004777"	0.0390417190294885	0.901099350374308
"ENSG00000004779"	"ENSG00000004779"	0.316909817442218	0.0363864687326817
"ENSG00000004864"	"ENSG00000004864"	-0.0712535532170184	0.64427350577102
"ENSG00000004866"	"ENSG00000004866"	0.42174213280766	0.0138885650504739
"ENSG00000004897"	"ENSG00000004897"	-0.14991024998239	0.144593627788597
"ENSG00000004948"	"ENSG00000004948"	0.242053949516666	0.629892479237685
"ENSG00000004961"	"ENSG00000004961"	0.307406091279638	0.00630840850272369
"ENSG00000004975"	"ENSG00000004975"	-0.133088275972935	0.279283231280779
"ENSG00000005007"	"ENSG00000005007"	0.0895772646237623	0.422163272570916
"ENSG00000005020"	"ENSG00000005020"	-0.283600090537284	0.285619430091988
"ENSG00000005022"	"ENSG00000005022"	0.467796534195523	0.00565870606244802
"ENSG00000005059"	"ENSG00000005059"	0.717958858578259	0.00343801509093808
"ENSG00000005075"	"ENSG00000005075"	0.159698188719376	0.315338089255177
"ENSG00000005100"	"ENSG00000005100"	0.595306104948097	0.0281483664268297
