"genes"	"logFC"	"adj.P.Val"
"ENSG00000000003"	"ENSG00000000003"	0.55738510262501	0.00183113024650416
"ENSG00000000419"	"ENSG00000000419"	-0.781846765458701	9.99127616239329e-06
"ENSG00000000457"	"ENSG00000000457"	0.99509307763648	3.66343144051912e-08
"ENSG00000001036"	"ENSG00000001036"	-0.509843451081267	0.0086005488756701
"ENSG00000001084"	"ENSG00000001084"	-0.308425406385783	0.0127787520690245
"ENSG00000001497"	"ENSG00000001497"	-0.604834260087045	7.32012277900611e-07
"ENSG00000001561"	"ENSG00000001561"	0.82383845517688	0.0015867377780246
"ENSG00000001629"	"ENSG00000001629"	-0.339692411960989	0.0320783833860426
"ENSG00000001630"	"ENSG00000001630"	0.625687139483429	0.0334240053807149
"ENSG00000002330"	"ENSG00000002330"	0.796279635917057	0.000882031390936896
"ENSG00000002549"	"ENSG00000002549"	0.874643573299372	2.57928799866356e-07
"ENSG00000002919"	"ENSG00000002919"	0.541682881718214	8.11771692998829e-07
"ENSG00000003096"	"ENSG00000003096"	1.84108696856932	3.03334561374019e-08
"ENSG00000003147"	"ENSG00000003147"	-2.35117237608042	2.35607973617959e-06
"ENSG00000003400"	"ENSG00000003400"	1.08019755341131	0.000256053764484403
"ENSG00000003509"	"ENSG00000003509"	-1.24016180347835	0.000200539430654557
"ENSG00000004142"	"ENSG00000004142"	0.292453831357926	0.0355636269236986
"ENSG00000004399"	"ENSG00000004399"	-2.18029509518851	1.59670750073561e-06
"ENSG00000004700"	"ENSG00000004700"	-0.477547752825605	0.000293294676974196
"ENSG00000004766"	"ENSG00000004766"	-0.592537068514543	0.00582877371204054
"ENSG00000004779"	"ENSG00000004779"	0.395219110497042	0.0276861231850677
"ENSG00000004897"	"ENSG00000004897"	0.326977181249459	0.00570722332529637
"ENSG00000004948"	"ENSG00000004948"	2.66847858173314	6.17823426959339e-07
"ENSG00000005156"	"ENSG00000005156"	-0.454442560084996	0.000531724850668662
"ENSG00000005175"	"ENSG00000005175"	-0.658314317309348	1.98289153403841e-06
"ENSG00000005187"	"ENSG00000005187"	0.996065753950067	2.7115398824837e-05
"ENSG00000005189"	"ENSG00000005189"	1.41640780277375	1.26215441030937e-09
"ENSG00000005469"	"ENSG00000005469"	-0.760767888993887	0.015970831402416
"ENSG00000005486"	"ENSG00000005486"	0.695388150221043	0.00102712576793691
"ENSG00000005801"	"ENSG00000005801"	-0.339993773856222	0.0363696694391155
"ENSG00000005882"	"ENSG00000005882"	-0.929571047692593	0.00200171898692276
"ENSG00000005884"	"ENSG00000005884"	-2.37919241606488	0.000655599945385731
"ENSG00000005893"	"ENSG00000005893"	-0.735914783377573	2.44370560045343e-05
"ENSG00000006007"	"ENSG00000006007"	0.72170342348202	2.2521978077783e-05
"ENSG00000006015"	"ENSG00000006015"	1.06647593251439	6.03874924273545e-05
"ENSG00000006042"	"ENSG00000006042"	-1.10003417727248	8.83173363816959e-06
"ENSG00000006062"	"ENSG00000006062"	-0.652924865466697	0.0203707501465769
"ENSG00000006114"	"ENSG00000006114"	-0.662774354405802	0.000322958332274966
"ENSG00000006118"	"ENSG00000006118"	0.590705163352844	0.000943002418831379
"ENSG00000006194"	"ENSG00000006194"	-0.55425477042849	4.85414632598612e-05
"ENSG00000006468"	"ENSG00000006468"	0.830712666432255	0.000371887653630907
"ENSG00000006530"	"ENSG00000006530"	0.489375649928393	1.34652310983598e-05
"ENSG00000006625"	"ENSG00000006625"	-1.19224020164066	2.16088636248095e-05
"ENSG00000006634"	"ENSG00000006634"	-0.581246212551007	0.00317456416516089
"ENSG00000006652"	"ENSG00000006652"	-1.1638510019763	6.63213393816806e-07
"ENSG00000006744"	"ENSG00000006744"	-0.685500463691147	3.04110050276821e-08
"ENSG00000006757"	"ENSG00000006757"	-0.893568551072006	7.88519580795414e-05
"ENSG00000006837"	"ENSG00000006837"	-1.11318845647799	8.33886741666098e-12
"ENSG00000007062"	"ENSG00000007062"	2.07031023765515	2.81148451901731e-12
"ENSG00000007080"	"ENSG00000007080"	-0.600720798544286	0.00198236110070437
"ENSG00000007237"	"ENSG00000007237"	-0.951465886061553	0.00337542061214179
"ENSG00000007341"	"ENSG00000007341"	0.558235146530888	4.51611743001254e-05
"ENSG00000007376"	"ENSG00000007376"	-1.14155099592103	1.79145709602686e-08
"ENSG00000007520"	"ENSG00000007520"	-0.598560012803292	0.00310079984838004
"ENSG00000007866"	"ENSG00000007866"	-0.547866961630785	0.0295781965166667
"ENSG00000007923"	"ENSG00000007923"	-0.49449395622976	0.00216227595753232
"ENSG00000007944"	"ENSG00000007944"	-2.12077037330091	7.57277530029633e-05
"ENSG00000008083"	"ENSG00000008083"	-1.01097810597602	0.00244661526876351
"ENSG00000008128"	"ENSG00000008128"	-0.484485301595619	0.0127723110519726
"ENSG00000008130"	"ENSG00000008130"	-0.313009225366424	0.0265227337419885
"ENSG00000008283"	"ENSG00000008283"	-2.04362497781076	9.23829431519012e-10
"ENSG00000008300"	"ENSG00000008300"	-0.861834980537485	0.00566525282234137
"ENSG00000008311"	"ENSG00000008311"	-1.25968988241437	0.00291511102786146
"ENSG00000008323"	"ENSG00000008323"	1.02729227146779	0.0101823058834828
"ENSG00000008382"	"ENSG00000008382"	0.500137152429485	0.0261264014272606
"ENSG00000008394"	"ENSG00000008394"	0.642562217122672	0.000114146301888145
"ENSG00000008405"	"ENSG00000008405"	-0.627044158449888	1.46782937996948e-05
"ENSG00000008710"	"ENSG00000008710"	-0.625785217459912	0.0262901193504758
"ENSG00000008869"	"ENSG00000008869"	-0.833916050162689	5.27726691913952e-05
"ENSG00000008988"	"ENSG00000008988"	-0.924776115313067	4.66600396726423e-05
"ENSG00000009413"	"ENSG00000009413"	0.722968312750468	4.62824232858152e-05
"ENSG00000009830"	"ENSG00000009830"	0.376107038318835	0.00624497266147153
"ENSG00000010017"	"ENSG00000010017"	0.325369272210119	0.00716814070339334
"ENSG00000010072"	"ENSG00000010072"	0.294199211754697	0.00910578730573114
"ENSG00000010165"	"ENSG00000010165"	-0.890097567911965	1.16859766822938e-05
"ENSG00000010244"	"ENSG00000010244"	0.318835905308437	0.0139171506025511
"ENSG00000010278"	"ENSG00000010278"	1.29572912269921	3.7907277606814e-07
"ENSG00000010292"	"ENSG00000010292"	0.57218035878185	0.0284848025356637
"ENSG00000010318"	"ENSG00000010318"	-0.812178122188822	0.00105207054052015
"ENSG00000010322"	"ENSG00000010322"	0.687442939479872	7.26510768738071e-05
"ENSG00000010404"	"ENSG00000010404"	1.32372692156068	0.000148572341300899
"ENSG00000010810"	"ENSG00000010810"	-0.641862376709767	0.00256776063483377
"ENSG00000010818"	"ENSG00000010818"	-0.906076910635403	0.0483812131981966
"ENSG00000011052"	"ENSG00000011052"	-0.789020100746535	1.91325290059442e-05
"ENSG00000011105"	"ENSG00000011105"	-0.830135135088551	0.0129192840944276
"ENSG00000011114"	"ENSG00000011114"	0.456902483590238	0.00353408043980366
"ENSG00000011132"	"ENSG00000011132"	0.997582237991154	2.06853089322183e-07
"ENSG00000011143"	"ENSG00000011143"	0.429130482711343	0.00701853319364372
"ENSG00000011198"	"ENSG00000011198"	0.97936950321815	1.07474328930681e-08
"ENSG00000011201"	"ENSG00000011201"	-1.82378553150528	0.00175178234537435
"ENSG00000011258"	"ENSG00000011258"	-0.841675519660405	0.0116371825533213
"ENSG00000011275"	"ENSG00000011275"	0.321218380081106	0.0496304239915908
"ENSG00000011304"	"ENSG00000011304"	-1.55592856012657	6.96852158119756e-07
"ENSG00000011405"	"ENSG00000011405"	-0.56791976744173	0.000125279848188687
"ENSG00000011422"	"ENSG00000011422"	2.07379365175211	2.39917921659155e-07
"ENSG00000011523"	"ENSG00000011523"	-0.411570523935416	0.0229058763096536
"ENSG00000011566"	"ENSG00000011566"	-0.836727557308654	8.72396104651918e-06
"ENSG00000011638"	"ENSG00000011638"	2.01956574083176	2.01400888375239e-14
"ENSG00000012061"	"ENSG00000012061"	0.584843763488276	0.000419230852924235
"ENSG00000012963"	"ENSG00000012963"	0.950503333025952	2.75994073342324e-10
"ENSG00000012983"	"ENSG00000012983"	-0.499963952327035	0.00299525024997881
"ENSG00000013275"	"ENSG00000013275"	-0.387690833797961	0.00980927111598327
"ENSG00000013297"	"ENSG00000013297"	-1.95607663277042	2.16904159482985e-05
"ENSG00000013306"	"ENSG00000013306"	-0.298370358429681	0.038602186698864
"ENSG00000013364"	"ENSG00000013364"	2.63547850357668	6.3272357613823e-14
"ENSG00000013392"	"ENSG00000013392"	-0.592248825568709	0.0328423775246952
