"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000000003"	"ENSG00000000003"	-0.0399607937081877	7.28465220800909	-0.27832764256826	0.78172345829147	0.845124175242399	-7.35167068342199
"ENSG00000000419"	"ENSG00000000419"	0.867744185331421	6.19819554487179	6.64525517761556	1.02866054315853e-08	1.78139802297572e-07	9.39026249323151
"ENSG00000000457"	"ENSG00000000457"	-1.2391033936335	4.33190539259579	-9.12436848949272	6.43118732967324e-13	3.64104144203039e-11	19.1325653200709
"ENSG00000000460"	"ENSG00000000460"	0.0949931083374618	5.16910691018931	0.718756938235755	0.475097068347875	0.590162771821158	-6.99607563771055
"ENSG00000001036"	"ENSG00000001036"	-0.0210852225302052	6.21708113716122	-0.149506481595437	0.881658371084414	0.921733751588251	-7.31693673430748
"ENSG00000001084"	"ENSG00000001084"	0.437682367051146	6.80650581196306	4.25408578851857	7.51602792622962e-05	0.000413923846883325	0.647558734471052
"ENSG00000001167"	"ENSG00000001167"	-0.182658182738089	5.19313153724682	-1.14650939002667	0.256163039222352	0.370456695599596	-6.5531695406653
"ENSG00000001461"	"ENSG00000001461"	0.120481252339586	3.71214760827556	0.433715159528203	0.666059967950677	0.754981784073124	-6.88249180827513
"ENSG00000001497"	"ENSG00000001497"	0.470914452720153	6.77507184662415	5.32189527089209	1.62973809000811e-06	1.502041259342e-05	4.3651829096883
"ENSG00000001561"	"ENSG00000001561"	-0.398822628347288	3.17346247327156	-2.20129621269757	0.0315959217951145	0.0684996457894353	-4.52525304635141
"ENSG00000001617"	"ENSG00000001617"	-0.477273746373171	6.61228160108006	-2.20323940184213	0.0314516676931852	0.06828444667311	-4.95179483360667
"ENSG00000001629"	"ENSG00000001629"	0.304947081875727	6.45130674848722	2.26423739696627	0.0272084387016663	0.0606532250661766	-4.84437392658245
"ENSG00000001630"	"ENSG00000001630"	-0.782610094666499	6.14131858592896	-3.12815496374887	0.00272018778638509	0.00885027311364443	-2.7036191923034
"ENSG00000001631"	"ENSG00000001631"	-0.00588433123714146	5.51224517308736	-0.0491101743828701	0.960995574544785	0.974615984262742	-7.25169201596704
"ENSG00000002330"	"ENSG00000002330"	-0.609969834280681	4.0858899268447	-3.00938319218218	0.00383183596909003	0.0118405439230843	-2.74170255164293
"ENSG00000002549"	"ENSG00000002549"	-1.15645891171519	6.64061248586001	-10.0129867071498	2.17185646526676e-14	1.66416227799335e-12	22.332796183485
"ENSG00000002822"	"ENSG00000002822"	0.144020188434828	5.75227820424575	0.987803569631816	0.327239093208595	0.446487237343931	-6.76211864176752
"ENSG00000002834"	"ENSG00000002834"	0.210614457292176	9.24284425562326	1.31634926177552	0.193092936476687	0.297092670965475	-6.54889453922977
"ENSG00000002919"	"ENSG00000002919"	-0.533798421526573	5.43057610786751	-6.69187155732464	8.57649141078635e-09	1.53690726081291e-07	9.6183481435738
"ENSG00000003056"	"ENSG00000003056"	-0.223783474441583	8.46124397263212	-1.65280826166801	0.103624635809771	0.181343112667099	-6.06030479650039
"ENSG00000003096"	"ENSG00000003096"	-1.05171603483469	3.401733961567	-5.05409681892996	4.38431204865312e-06	3.53213067625659e-05	3.71730668139868
"ENSG00000003147"	"ENSG00000003147"	2.40835238288556	3.4797365461535	8.85668343858342	1.8082862075187e-12	9.04494227294792e-11	18.1513452452709
"ENSG00000003393"	"ENSG00000003393"	-0.215170023490154	7.0448457700982	-1.68222901981806	0.0977530602467988	0.172651274045769	-5.95297385040193
"ENSG00000003400"	"ENSG00000003400"	-1.80547990218693	3.04170133126781	-6.52021885679177	1.67401050914403e-08	2.74468643582752e-07	9.29155872641093
"ENSG00000003402"	"ENSG00000003402"	-1.15791809929044	5.04011171523353	-3.85022819798417	0.000290396443456089	0.00132634971337391	-0.222434487301187
"ENSG00000003509"	"ENSG00000003509"	0.295544588649555	5.1005579279695	1.30704475667395	0.196214080821189	0.300718027055994	-6.36429949633554
"ENSG00000003756"	"ENSG00000003756"	-0.0260842429301497	7.22022265486467	-0.143713024822527	0.88621152355907	0.924481602273654	-7.36222288957823
"ENSG00000003989"	"ENSG00000003989"	1.2846475836962	2.29174621757494	2.17285824939316	0.033774549726102	0.0723369279521419	-4.43188263337072
"ENSG00000004059"	"ENSG00000004059"	0.328155530985387	7.34154813236009	1.95099544447726	0.0557596738364469	0.109312724355165	-5.50455413204152
"ENSG00000004142"	"ENSG00000004142"	-0.282126124334687	7.72614715633761	-2.87037067575652	0.00566532692636355	0.0164762993647333	-3.49074572744393
"ENSG00000004399"	"ENSG00000004399"	1.82385122084059	5.85765569604724	5.02778114543756	4.82774272868225e-06	3.82738326806164e-05	3.41228001376997
"ENSG00000004455"	"ENSG00000004455"	0.115177776716188	7.07057378326309	0.989516813521318	0.326407560283756	0.445884064850036	-6.89324318020027
"ENSG00000004478"	"ENSG00000004478"	0.414074662099222	6.48584313936444	2.62622612870179	0.0109548707930808	0.0287150823332244	-4.04756896909951
"ENSG00000004487"	"ENSG00000004487"	0.235192344039106	8.5368949836559	2.35538392264544	0.0218105291594926	0.0507793587183029	-4.7239537166147
"ENSG00000004534"	"ENSG00000004534"	-0.0275459309520132	7.12981099277137	-0.155436541544746	0.877002011058613	0.918916892612157	-7.36086995066534
"ENSG00000004660"	"ENSG00000004660"	0.581134898412682	1.75612396759693	2.32728555567309	0.0233627775435516	0.0536744837923646	-4.09851353063928
"ENSG00000004700"	"ENSG00000004700"	0.510481920994251	5.76824752638669	4.71679439497568	1.48694878071672e-05	0.000102279841365188	2.27882921089841
