"genes"	"logFC"	"adj.P.Val"
"ENSG00000000419"	"ENSG00000000419"	-0.84590934148975	1.26118934219194e-06
"ENSG00000000457"	"ENSG00000000457"	1.12387564743144	3.10993478453098e-09
"ENSG00000001084"	"ENSG00000001084"	-0.431795503524903	0.000647438875700227
"ENSG00000001497"	"ENSG00000001497"	-0.425735300984876	0.000216001002749362
"ENSG00000001630"	"ENSG00000001630"	0.799035111999258	0.00715266089302653
"ENSG00000002549"	"ENSG00000002549"	1.24659221381708	4.86324822301003e-12
"ENSG00000002919"	"ENSG00000002919"	0.504537368843563	2.1125960974462e-06
"ENSG00000003096"	"ENSG00000003096"	1.01929991594285	0.000235128779966293
"ENSG00000003147"	"ENSG00000003147"	-2.57500041837193	2.7052052689011e-07
"ENSG00000003400"	"ENSG00000003400"	1.41096723556241	3.31544185137577e-05
"ENSG00000003402"	"ENSG00000003402"	0.786800315168448	0.0411555714647592
"ENSG00000004142"	"ENSG00000004142"	0.33895519011646	0.0153670256217081
"ENSG00000004399"	"ENSG00000004399"	-1.89170042140021	1.53482073011356e-05
"ENSG00000004700"	"ENSG00000004700"	-0.536669341890391	4.37938763661782e-05
"ENSG00000004766"	"ENSG00000004766"	-0.429202477177395	0.0316716865447945
"ENSG00000004777"	"ENSG00000004777"	-1.20349148031389	0.000587662845918864
"ENSG00000004948"	"ENSG00000004948"	1.21642767493176	0.0157504707512384
"ENSG00000005020"	"ENSG00000005020"	0.638928670107374	0.0324790988157291
"ENSG00000005022"	"ENSG00000005022"	-0.421566256132112	0.035002203687516
"ENSG00000005156"	"ENSG00000005156"	-0.718603986737975	1.9271152153503e-07
"ENSG00000005175"	"ENSG00000005175"	-0.369138035485858	0.00358969957439516
"ENSG00000005187"	"ENSG00000005187"	0.973181673817734	1.41146673342672e-05
"ENSG00000005189"	"ENSG00000005189"	1.15035967616595	9.69259597385974e-08
"ENSG00000005249"	"ENSG00000005249"	-0.755666485575822	0.0446223509732427
"ENSG00000005469"	"ENSG00000005469"	-0.885420267271273	0.0155743005474957
"ENSG00000005882"	"ENSG00000005882"	-0.979099173018015	0.00497744713174698
"ENSG00000005884"	"ENSG00000005884"	-2.27121852549814	0.00229730449212455
"ENSG00000005893"	"ENSG00000005893"	-0.707542284116452	2.21059994172564e-05
"ENSG00000006015"	"ENSG00000006015"	1.27459721251146	4.02980455894732e-06
"ENSG00000006042"	"ENSG00000006042"	-1.46231620249491	2.32079098306622e-08
"ENSG00000006114"	"ENSG00000006114"	-0.819937940775306	1.63111788037527e-05
"ENSG00000006118"	"ENSG00000006118"	0.726126861881858	6.66456617895883e-05
"ENSG00000006194"	"ENSG00000006194"	-0.343190084992157	0.00836602241464582
"ENSG00000006468"	"ENSG00000006468"	0.758629130277775	0.000642785552220672
"ENSG00000006530"	"ENSG00000006530"	0.745423877224662	3.87450404579017e-10
"ENSG00000006625"	"ENSG00000006625"	-1.01810011840723	1.19936342381979e-05
"ENSG00000006634"	"ENSG00000006634"	-0.572475758152729	0.00112652621606761
"ENSG00000006695"	"ENSG00000006695"	0.508682734715399	0.000282254330545577
"ENSG00000006704"	"ENSG00000006704"	-0.339208716531378	0.0126408919194258
"ENSG00000006712"	"ENSG00000006712"	0.248145301177502	0.0157504707512384
"ENSG00000006744"	"ENSG00000006744"	-0.728749775036232	5.16384681428434e-09
"ENSG00000006757"	"ENSG00000006757"	-1.71160523296729	2.0268538344917e-11
"ENSG00000006837"	"ENSG00000006837"	-0.915156206654332	2.73796171271247e-10
"ENSG00000007062"	"ENSG00000007062"	1.73301337153742	3.50018350288583e-10
"ENSG00000007080"	"ENSG00000007080"	-0.93225799661589	4.16607008137061e-06
"ENSG00000007168"	"ENSG00000007168"	0.203660109433533	0.0496398210609295
"ENSG00000007237"	"ENSG00000007237"	-1.42173450880273	5.4341401695572e-05
"ENSG00000007341"	"ENSG00000007341"	0.742834554320723	9.27788209956006e-08
"ENSG00000007376"	"ENSG00000007376"	-1.17117061878105	2.46767173896957e-09
"ENSG00000007520"	"ENSG00000007520"	-0.678664621636153	0.000625763279655529
"ENSG00000007541"	"ENSG00000007541"	0.60337839837594	0.00157234159586563
"ENSG00000007944"	"ENSG00000007944"	-1.19609512807308	0.0225421139142251
"ENSG00000008128"	"ENSG00000008128"	-0.456080505655809	0.0170192196523983
"ENSG00000008282"	"ENSG00000008282"	0.489092476998659	0.00455593678684075
"ENSG00000008283"	"ENSG00000008283"	-1.799708531511	2.56863459766756e-09
"ENSG00000008300"	"ENSG00000008300"	-0.994812614313991	0.00121623356607424
"ENSG00000008324"	"ENSG00000008324"	0.447544363300665	0.0231436024486665
"ENSG00000008394"	"ENSG00000008394"	0.472004149236334	0.00434353983025685
"ENSG00000008838"	"ENSG00000008838"	-0.251143695421084	0.0421301092636355
"ENSG00000008869"	"ENSG00000008869"	-0.517312193911259	0.0123359895956947
"ENSG00000008988"	"ENSG00000008988"	-1.12923648225146	1.53450205383687e-06
"ENSG00000009413"	"ENSG00000009413"	0.694616583320166	0.000226098838548567
"ENSG00000009830"	"ENSG00000009830"	0.378578176140271	0.00611782232987007
"ENSG00000010072"	"ENSG00000010072"	0.437731562559447	9.29994035628805e-05
"ENSG00000010165"	"ENSG00000010165"	-0.757764541442318	4.5145436672116e-05
"ENSG00000010219"	"ENSG00000010219"	0.673332874734741	0.0152380905544351
"ENSG00000010270"	"ENSG00000010270"	-0.423640820886626	0.0104970458639474
"ENSG00000010278"	"ENSG00000010278"	0.553107572256681	0.0222415299711804
"ENSG00000010318"	"ENSG00000010318"	-0.975088919067164	0.000157344882038907
"ENSG00000010322"	"ENSG00000010322"	0.804517924837816	5.35061524262751e-06
"ENSG00000010361"	"ENSG00000010361"	-0.727872155476359	0.00230504811520155
"ENSG00000010404"	"ENSG00000010404"	1.29796402533602	0.000334866149128611
"ENSG00000011052"	"ENSG00000011052"	-1.18115896443609	3.31915810322074e-09
"ENSG00000011105"	"ENSG00000011105"	-0.722376381502819	0.0217704404888961
"ENSG00000011114"	"ENSG00000011114"	0.499346187940968	0.00130288710812029
"ENSG00000011132"	"ENSG00000011132"	1.10487176001008	1.06270720873135e-08
"ENSG00000011143"	"ENSG00000011143"	0.425580317091713	0.00676089315233645
"ENSG00000011198"	"ENSG00000011198"	0.795806725007738	4.97294608110696e-07
"ENSG00000011258"	"ENSG00000011258"	-0.715718725116083	0.0166455884350854
"ENSG00000011304"	"ENSG00000011304"	-1.68345201723168	9.40516337557559e-08
"ENSG00000011405"	"ENSG00000011405"	-0.407518348795809	0.00513737126446749
"ENSG00000011566"	"ENSG00000011566"	-0.555505612905979	0.000789388472159869
"ENSG00000011638"	"ENSG00000011638"	2.47836948203486	1.2494512750455e-18
"ENSG00000012061"	"ENSG00000012061"	0.722013839224677	1.56799240499524e-05
"ENSG00000012660"	"ENSG00000012660"	0.683353994129077	0.00335926802207692
"ENSG00000012963"	"ENSG00000012963"	0.852962344218188	2.26510353032111e-09
"ENSG00000012983"	"ENSG00000012983"	-0.352041316667687	0.030845511447425
"ENSG00000013288"	"ENSG00000013288"	-1.13250496184135	0.00368044899702553
"ENSG00000013297"	"ENSG00000013297"	-1.18919913994552	0.0103081639171567
"ENSG00000013306"	"ENSG00000013306"	-0.469318388311555	0.00116260320453587
"ENSG00000013364"	"ENSG00000013364"	3.73864208922511	5.48947280175907e-20
"ENSG00000013375"	"ENSG00000013375"	0.404011369391215	0.0106850282237803
"ENSG00000013503"	"ENSG00000013503"	-0.619075050972066	0.00219922294825846
"ENSG00000013523"	"ENSG00000013523"	0.747419484445158	3.88020945723707e-05
"ENSG00000013561"	"ENSG00000013561"	-0.982300335763413	9.36471669888839e-06
"ENSG00000013583"	"ENSG00000013583"	1.82191601194707	2.8681065894216e-08
"ENSG00000013810"	"ENSG00000013810"	-0.421251802137697	0.019814505480527
"ENSG00000014216"	"ENSG00000014216"	-0.799617983322563	6.30112788765679e-07
"ENSG00000014641"	"ENSG00000014641"	1.43562088094127	2.23051703862572e-13
"ENSG00000014824"	"ENSG00000014824"	0.326765133195283	0.0141214988901077
"ENSG00000014919"	"ENSG00000014919"	0.584228866544602	1.24146611684084e-06
"ENSG00000015676"	"ENSG00000015676"	0.63715526246756	1.67212609670605e-06
"ENSG00000016864"	"ENSG00000016864"	-0.324757902254793	0.0319623184402708
