Gene,Motif Assignment Number
ENSG00000070761,1
ENSG00000070882,1
ENSG00000071054,1
ENSG00000071082,1
ENSG00000071127,1
ENSG00000071243,1
ENSG00000071564,1
ENSG00000071655,1
ENSG00000072042,1
ENSG00000072062,1
ENSG00000072071,1
ENSG00000072135,1
ENSG00000072415,1
ENSG00000072518,1
ENSG00000072736,1
ENSG00000072840,1
ENSG00000072849,1
ENSG00000072864,1
ENSG00000072952,1
ENSG00000072958,1
ENSG00000073050,1
ENSG00000073169,1
ENSG00000073350,1
ENSG00000073464,1
ENSG00000073584,1
ENSG00000073605,1
ENSG00000073614,1
ENSG00000073711,1
ENSG00000073792,1
ENSG00000074054,1
ENSG00000074219,1
ENSG00000074319,1
ENSG00000074356,1
ENSG00000074582,1
ENSG00000074603,1
ENSG00000074755,1
ENSG00000074800,1
ENSG00000074935,1
ENSG00000075043,1
ENSG00000075089,1
ENSG00000075131,1
ENSG00000075151,1
ENSG00000075234,1
ENSG00000075239,1
ENSG00000075275,1
ENSG00000075399,1
ENSG00000075413,1
ENSG00000075415,1
ENSG00000075426,1
ENSG00000075624,1
ENSG00000075702,1
ENSG00000075711,1
ENSG00000075785,1
ENSG00000075826,1
ENSG00000075975,1
ENSG00000076053,1
ENSG00000076067,1
ENSG00000076108,1
ENSG00000076321,1
ENSG00000076604,1
ENSG00000076650,1
ENSG00000076706,1
ENSG00000076924,1
ENSG00000076984,1
ENSG00000077097,1
ENSG00000077147,1
ENSG00000077157,1
ENSG00000077232,1
ENSG00000077235,1
ENSG00000077254,1
ENSG00000077458,1
ENSG00000077463,1
ENSG00000077549,1
ENSG00000077713,1
ENSG00000077721,1
ENSG00000077809,1
ENSG00000078061,1
ENSG00000078124,1
ENSG00000078140,1
ENSG00000078177,1
ENSG00000078237,1
ENSG00000078295,1
ENSG00000078304,1
ENSG00000078369,1
ENSG00000078596,1
ENSG00000078618,1
ENSG00000078668,1
ENSG00000078674,1
ENSG00000078687,1
ENSG00000078808,1
ENSG00000079134,1
ENSG00000079257,1
ENSG00000079308,1
ENSG00000079387,1
ENSG00000079785,1
ENSG00000079805,1
ENSG00000079819,1
ENSG00000079931,1
ENSG00000080189,1
ENSG00000080371,1
ENSG00000080503,1
ENSG00000080546,1
ENSG00000080603,1
ENSG00000080802,1
ENSG00000080824,1
ENSG00000081019,1
ENSG00000081154,1
ENSG00000081320,1
ENSG00000081479,1
ENSG00000081692,1
ENSG00000081721,1
ENSG00000081870,1
ENSG00000082153,1
ENSG00000082258,1
ENSG00000082701,1
ENSG00000082805,1
ENSG00000082898,1
ENSG00000083099,1
ENSG00000083123,1
ENSG00000083457,1
ENSG00000083535,1
ENSG00000083807,1
ENSG00000083817,1
ENSG00000083842,1
ENSG00000083844,1
ENSG00000083845,1
ENSG00000083857,1
ENSG00000083896,1
ENSG00000083937,1
ENSG00000084072,1
ENSG00000084073,1
ENSG00000084652,1
ENSG00000084693,1
ENSG00000084733,1
ENSG00000084754,1
ENSG00000084774,1
ENSG00000085063,1
ENSG00000085224,1
ENSG00000085382,1
ENSG00000085433,1
ENSG00000085449,1
ENSG00000085644,1
ENSG00000085719,1
ENSG00000085733,1
ENSG00000085982,1
ENSG00000086061,1
ENSG00000086065,1
ENSG00000086232,1
ENSG00000086289,1
ENSG00000086504,1
ENSG00000086544,1
ENSG00000086589,1
ENSG00000086598,1
ENSG00000086666,1
ENSG00000086758,1
ENSG00000087053,1
ENSG00000087087,1
ENSG00000087088,1
ENSG00000087157,1
ENSG00000087191,1
ENSG00000087266,1
ENSG00000087365,1
ENSG00000087470,1
ENSG00000087502,1
ENSG00000087842,1
ENSG00000087884,1
ENSG00000088256,1
ENSG00000088356,1
ENSG00000088448,1
ENSG00000088727,1
ENSG00000088766,1
ENSG00000088812,1
ENSG00000088833,1
ENSG00000088888,1
ENSG00000089009,1
ENSG00000089022,1
ENSG00000089057,1
ENSG00000089060,1
ENSG00000089063,1
ENSG00000089154,1
ENSG00000089157,1
ENSG00000089177,1
ENSG00000089234,1
ENSG00000089289,1
ENSG00000089335,1
ENSG00000089351,1
ENSG00000089597,1
ENSG00000089693,1
ENSG00000089818,1
ENSG00000089820,1
ENSG00000089916,1
ENSG00000090006,1
ENSG00000090020,1
ENSG00000090054,1
ENSG00000090061,1
ENSG00000090266,1
ENSG00000090316,1
ENSG00000090372,1
ENSG00000090432,1
ENSG00000090520,1
ENSG00000090615,1
ENSG00000090686,1
ENSG00000090776,1
ENSG00000090863,1
ENSG00000090905,1
ENSG00000090932,1
ENSG00000090989,1
ENSG00000091140,1
ENSG00000091157,1
ENSG00000091317,1
ENSG00000091436,1
ENSG00000091527,1
ENSG00000091542,1
ENSG00000091640,1
ENSG00000091732,1
ENSG00000091947,1
ENSG00000092020,1
ENSG00000092036,1
ENSG00000092094,1
ENSG00000092098,1
ENSG00000092148,1
ENSG00000092203,1
ENSG00000092208,1
ENSG00000092421,1
ENSG00000092439,1
ENSG00000092531,1
ENSG00000092931,1
ENSG00000093000,1
ENSG00000093100,1
ENSG00000093167,1
ENSG00000094914,1
ENSG00000095002,1
ENSG00000095066,1
ENSG00000095139,1
ENSG00000095261,1
ENSG00000095787,1
ENSG00000095794,1
ENSG00000095906,1
ENSG00000096070,1
ENSG00000096080,1
ENSG00000096401,1
ENSG00000096433,1
ENSG00000096654,1
ENSG00000096872,1
ENSG00000097007,1
ENSG00000097096,1
ENSG00000099203,1
ENSG00000099282,1
ENSG00000099308,1
ENSG00000099364,1
ENSG00000099381,1
ENSG00000099624,1
ENSG00000099795,1
ENSG00000099804,1
ENSG00000099814,1
ENSG00000099817,1
ENSG00000099875,1
ENSG00000099899,1
ENSG00000099910,1
ENSG00000099940,1
ENSG00000099942,1
ENSG00000099949,1
ENSG00000099954,1
ENSG00000099968,1
ENSG00000100014,1
ENSG00000100023,1
ENSG00000100030,1
ENSG00000100034,1
ENSG00000100038,1
ENSG00000100077,1
ENSG00000100083,1
ENSG00000100084,1
ENSG00000100099,1
ENSG00000100101,1
ENSG00000100105,1
ENSG00000100109,1
ENSG00000100124,1
ENSG00000100129,1
ENSG00000100139,1
ENSG00000100147,1
ENSG00000100150,1
ENSG00000100207,1
ENSG00000100209,1
ENSG00000100211,1
ENSG00000100227,1
ENSG00000100243,1
ENSG00000100263,1
ENSG00000100266,1
ENSG00000100281,1
ENSG00000100294,1
ENSG00000100296,1
ENSG00000100316,1
ENSG00000100319,1
ENSG00000100345,1
ENSG00000100348,1
ENSG00000100350,1
ENSG00000100387,1
ENSG00000100393,1
ENSG00000100403,1
ENSG00000100439,1
ENSG00000100442,1
ENSG00000100519,1
ENSG00000100522,1
ENSG00000100528,1
ENSG00000100532,1
ENSG00000100554,1
ENSG00000100567,1
ENSG00000100568,1
ENSG00000100577,1
ENSG00000100580,1
ENSG00000100596,1
ENSG00000100600,1
ENSG00000100612,1
ENSG00000100614,1
ENSG00000100650,1
ENSG00000100664,1
ENSG00000100697,1
ENSG00000100711,1
ENSG00000100726,1
ENSG00000100764,1
ENSG00000100796,1
ENSG00000100804,1
ENSG00000100811,1
ENSG00000100813,1
ENSG00000100836,1
ENSG00000100865,1
ENSG00000100883,1
ENSG00000100888,1
ENSG00000100897,1
ENSG00000100908,1
ENSG00000100911,1
ENSG00000100916,1
ENSG00000100918,1
ENSG00000100926,1
ENSG00000100934,1
ENSG00000100938,1
ENSG00000100941,1
ENSG00000100949,1
ENSG00000100983,1
ENSG00000100991,1
ENSG00000100994,1
ENSG00000101000,1
ENSG00000101079,1
ENSG00000101082,1
ENSG00000101104,1
ENSG00000101115,1
ENSG00000101126,1
ENSG00000101132,1
ENSG00000101146,1
ENSG00000101150,1
ENSG00000101158,1
ENSG00000101161,1
ENSG00000101166,1
ENSG00000101181,1
ENSG00000101182,1
ENSG00000101189,1
ENSG00000101199,1
ENSG00000101216,1
ENSG00000101246,1
ENSG00000101266,1
ENSG00000101294,1
ENSG00000101310,1
ENSG00000101343,1
ENSG00000101346,1
ENSG00000101350,1
ENSG00000101363,1
ENSG00000101365,1
ENSG00000101367,1
ENSG00000101391,1
ENSG00000101457,1
ENSG00000101474,1
ENSG00000101544,1
ENSG00000101557,1
ENSG00000101558,1
ENSG00000101574,1
ENSG00000101624,1
ENSG00000101654,1
ENSG00000101745,1
ENSG00000101752,1
ENSG00000101782,1
ENSG00000101843,1
ENSG00000101844,1
ENSG00000101849,1
ENSG00000101871,1
ENSG00000101882,1
ENSG00000101955,1
ENSG00000101972,1
ENSG00000101997,1
ENSG00000102024,1
ENSG00000102030,1
ENSG00000102078,1
ENSG00000102098,1
ENSG00000102103,1
ENSG00000102125,1
ENSG00000102144,1
ENSG00000102158,1
ENSG00000102178,1
ENSG00000102181,1
ENSG00000102221,1
ENSG00000102225,1
ENSG00000102241,1
ENSG00000102302,1
ENSG00000102393,1
ENSG00000102409,1
ENSG00000102572,1
ENSG00000102699,1
ENSG00000102710,1
ENSG00000102786,1
ENSG00000102805,1
ENSG00000102858,1
ENSG00000102898,1
ENSG00000102974,1
ENSG00000102978,1
ENSG00000103035,1
ENSG00000103042,1
ENSG00000103051,1
ENSG00000103061,1
ENSG00000103067,1
ENSG00000103111,1
ENSG00000103148,1
ENSG00000103160,1
ENSG00000103168,1
ENSG00000103196,1
ENSG00000103197,1
ENSG00000103199,1
ENSG00000103202,1
ENSG00000103248,1
ENSG00000103249,1
ENSG00000103254,1
ENSG00000103257,1
ENSG00000103264,1
ENSG00000103266,1
ENSG00000103275,1
ENSG00000103343,1
ENSG00000103351,1
ENSG00000103353,1
ENSG00000103365,1
ENSG00000103381,1
ENSG00000103404,1
ENSG00000103415,1
ENSG00000103489,1
ENSG00000103496,1
ENSG00000103502,1
ENSG00000103507,1
ENSG00000103510,1
ENSG00000103544,1
ENSG00000103549,1
ENSG00000103642,1
ENSG00000103657,1
ENSG00000103707,1
ENSG00000103769,1
ENSG00000103852,1
ENSG00000103932,1
ENSG00000103966,1
ENSG00000103994,1
ENSG00000104064,1
ENSG00000104067,1
ENSG00000104129,1
ENSG00000104133,1
ENSG00000104142,1
ENSG00000104299,1
ENSG00000104325,1
ENSG00000104365,1
ENSG00000104375,1
ENSG00000104412,1
ENSG00000104427,1
ENSG00000104518,1
ENSG00000104522,1
ENSG00000104524,1
ENSG00000104529,1
ENSG00000104635,1
ENSG00000104643,1
ENSG00000104660,1
ENSG00000104671,1
ENSG00000104679,1
ENSG00000104687,1
ENSG00000104728,1
ENSG00000104824,1
ENSG00000104835,1
ENSG00000104852,1
ENSG00000104859,1
ENSG00000104866,1
ENSG00000104880,1
ENSG00000104884,1
ENSG00000104885,1
ENSG00000104886,1
ENSG00000104897,1
ENSG00000104915,1
ENSG00000104969,1
ENSG00000104973,1
ENSG00000104998,1
ENSG00000105058,1
ENSG00000105063,1
ENSG00000105072,1
ENSG00000105135,1
ENSG00000105136,1
ENSG00000105171,1
ENSG00000105186,1
ENSG00000105193,1
ENSG00000105229,1
ENSG00000105298,1
ENSG00000105323,1
ENSG00000105373,1
ENSG00000105393,1
ENSG00000105401,1
ENSG00000105438,1
ENSG00000105472,1
ENSG00000105520,1
ENSG00000105559,1
ENSG00000105568,1
ENSG00000105583,1
ENSG00000105617,1
ENSG00000105618,1
ENSG00000105619,1
ENSG00000105647,1
ENSG00000105655,1
ENSG00000105663,1
ENSG00000105698,1
ENSG00000105699,1
ENSG00000105700,1
ENSG00000105701,1
ENSG00000105705,1
ENSG00000105707,1
ENSG00000105723,1
ENSG00000105726,1
ENSG00000105738,1
ENSG00000105750,1
ENSG00000105771,1
ENSG00000105792,1
ENSG00000105810,1
ENSG00000105819,1
ENSG00000105829,1
ENSG00000105875,1
ENSG00000105879,1
ENSG00000105887,1
ENSG00000105968,1
ENSG00000105971,1
ENSG00000105983,1
ENSG00000106009,1
ENSG00000106012,1
ENSG00000106049,1
ENSG00000106153,1
ENSG00000106244,1
ENSG00000106245,1
ENSG00000106246,1
ENSG00000106290,1
ENSG00000106346,1
ENSG00000106400,1
ENSG00000106404,1
ENSG00000106484,1
ENSG00000106537,1
ENSG00000106546,1
ENSG00000106588,1
ENSG00000106591,1
ENSG00000106603,1
ENSG00000106605,1
ENSG00000106608,1
ENSG00000106609,1
ENSG00000106635,1
ENSG00000106636,1
ENSG00000106682,1
ENSG00000106723,1
ENSG00000106771,1
ENSG00000106803,1
ENSG00000106976,1
ENSG00000107021,1
ENSG00000107036,1
ENSG00000107130,1
ENSG00000107164,1
ENSG00000107185,1
ENSG00000107186,1
ENSG00000107223,1
ENSG00000107263,1
ENSG00000107290,1
ENSG00000107341,1
ENSG00000107404,1
ENSG00000107560,1
ENSG00000107625,1
ENSG00000107651,1
ENSG00000107672,1
ENSG00000107679,1
ENSG00000107719,1
ENSG00000107745,1
ENSG00000107758,1
ENSG00000107789,1
ENSG00000107816,1
ENSG00000107829,1
ENSG00000107854,1
ENSG00000107872,1
ENSG00000107874,1
ENSG00000107890,1
ENSG00000107902,1
ENSG00000107929,1
ENSG00000107938,1
ENSG00000107959,1
ENSG00000108010,1
ENSG00000108039,1
ENSG00000108055,1
ENSG00000108094,1
ENSG00000108100,1
ENSG00000108175,1
ENSG00000108262,1
ENSG00000108270,1
ENSG00000108272,1
ENSG00000108294,1
ENSG00000108296,1
ENSG00000108344,1
ENSG00000108349,1
ENSG00000108352,1
ENSG00000108406,1
ENSG00000108433,1
ENSG00000108439,1
ENSG00000108465,1
ENSG00000108469,1
ENSG00000108479,1
ENSG00000108506,1
ENSG00000108509,1
ENSG00000108510,1
ENSG00000108515,1
ENSG00000108518,1
ENSG00000108528,1
ENSG00000108578,1
ENSG00000108587,1
ENSG00000108591,1
ENSG00000108599,1
ENSG00000108604,1
ENSG00000108666,1
ENSG00000108733,1
ENSG00000108773,1
ENSG00000108784,1
ENSG00000108848,1
ENSG00000108854,1
ENSG00000108861,1
ENSG00000108953,1
ENSG00000108960,1
ENSG00000108961,1
ENSG00000108963,1
ENSG00000109016,1
ENSG00000109066,1
ENSG00000109103,1
ENSG00000109118,1
