"genes"	"logFC"	"adj.P.Val"
"ENSG00000000003"	"ENSG00000000003"	-0.379453264242695	0.179031869420815
"ENSG00000000419"	"ENSG00000000419"	0.0368337025496736	0.936595769313876
"ENSG00000000457"	"ENSG00000000457"	-0.040696351416417	0.927561778792255
"ENSG00000000460"	"ENSG00000000460"	0.0444980008422536	0.925929938311883
"ENSG00000001036"	"ENSG00000001036"	0.280852254771527	0.398370394884223
"ENSG00000001084"	"ENSG00000001084"	0.0274148099734521	0.936076918854745
"ENSG00000001167"	"ENSG00000001167"	0.205836177667421	0.600214745193374
"ENSG00000001461"	"ENSG00000001461"	0.901929726173171	0.126303123398867
"ENSG00000001497"	"ENSG00000001497"	0.0994182521224721	0.669888275055452
"ENSG00000001561"	"ENSG00000001561"	-0.341818324083441	0.448897435578491
"ENSG00000001617"	"ENSG00000001617"	-0.429575340693427	0.438917193549434
"ENSG00000001629"	"ENSG00000001629"	0.216065554436397	0.441242118062176
"ENSG00000001630"	"ENSG00000001630"	0.107240736602681	0.885529601867965
"ENSG00000001631"	"ENSG00000001631"	0.147687240026696	0.605111187346027
"ENSG00000002330"	"ENSG00000002330"	-0.292944267371292	0.518374260216146
"ENSG00000002549"	"ENSG00000002549"	0.285864855698037	0.2710514112476
"ENSG00000002822"	"ENSG00000002822"	-0.165548757800013	0.645631901405069
"ENSG00000002834"	"ENSG00000002834"	-0.0361709857365129	0.956860646852365
"ENSG00000002919"	"ENSG00000002919"	0.0345640315869364	0.891314142885008
"ENSG00000003056"	"ENSG00000003056"	0.414366627800769	0.0803830218925587
"ENSG00000003096"	"ENSG00000003096"	-0.620772670898772	0.162723360569125
"ENSG00000003147"	"ENSG00000003147"	0.68063555213145	0.34054955682722
"ENSG00000003393"	"ENSG00000003393"	0.0294404198859897	0.946065325612114
"ENSG00000003400"	"ENSG00000003400"	-0.222984046226439	0.756651051869536
"ENSG00000003402"	"ENSG00000003402"	-0.853903633568357	0.164954844094318
"ENSG00000003509"	"ENSG00000003509"	0.288061467983903	0.638678579316567
"ENSG00000003756"	"ENSG00000003756"	0.359838408399131	0.300773154411642
"ENSG00000003989"	"ENSG00000003989"	-3.21269445253264	0.000879713234547071
"ENSG00000004059"	"ENSG00000004059"	-0.425623863295246	0.182110280006403
"ENSG00000004142"	"ENSG00000004142"	-0.100924740963581	0.7314006341889
"ENSG00000004399"	"ENSG00000004399"	0.650228987199927	0.382411538229678
"ENSG00000004455"	"ENSG00000004455"	0.0434882383904901	0.916616691914886
"ENSG00000004478"	"ENSG00000004478"	-0.459377754684278	0.191657395830028
"ENSG00000004487"	"ENSG00000004487"	-0.151134273270472	0.585540832931815
"ENSG00000004534"	"ENSG00000004534"	0.281013295583442	0.430600057565996
"ENSG00000004660"	"ENSG00000004660"	0.0759458094219519	0.937753121853146
"ENSG00000004700"	"ENSG00000004700"	0.064097817639348	0.826007609132028
"ENSG00000004766"	"ENSG00000004766"	0.0211222312944183	0.970619879094274
"ENSG00000004777"	"ENSG00000004777"	0.316463590805343	0.628864447257182
"ENSG00000004779"	"ENSG00000004779"	-0.34668303111221	0.230142072184952
"ENSG00000004864"	"ENSG00000004864"	-0.13066161077152	0.68347972510792
"ENSG00000004866"	"ENSG00000004866"	0.270356134751998	0.465875346357877
"ENSG00000004897"	"ENSG00000004897"	-0.0373248818259026	0.900863514568052
"ENSG00000004948"	"ENSG00000004948"	-3.95915903317081	0.00105447995931774
"ENSG00000004961"	"ENSG00000004961"	-0.0483332739849078	0.885920129072152
"ENSG00000004975"	"ENSG00000004975"	-0.217983978546095	0.356379354408768
"ENSG00000005007"	"ENSG00000005007"	-0.0683755905084333	0.797323057795992
"ENSG00000005020"	"ENSG00000005020"	0.961824192163316	0.0191070299395272
"ENSG00000005022"	"ENSG00000005022"	-0.278898103773591	0.434992830362139
"ENSG00000005059"	"ENSG00000005059"	0.939162177167149	0.0263187048336614
"ENSG00000005075"	"ENSG00000005075"	-0.0724072109188857	0.867498844381709
"ENSG00000005100"	"ENSG00000005100"	0.0355595615371935	0.970273127688971
"ENSG00000005156"	"ENSG00000005156"	-0.393655846558993	0.0378082828783939
"ENSG00000005175"	"ENSG00000005175"	0.287968947347134	0.152444783898304
"ENSG00000005187"	"ENSG00000005187"	-0.0453861402837105	0.94250047858414
"ENSG00000005189"	"ENSG00000005189"	-0.562715724525183	0.0581153947007052
"ENSG00000005206"	"ENSG00000005206"	0.0472157643070259	0.947097631725566
"ENSG00000005238"	"ENSG00000005238"	0.336396066328901	0.450812520230017
"ENSG00000005249"	"ENSG00000005249"	0.017004943400524	0.986545984894355
"ENSG00000005302"	"ENSG00000005302"	0.285750594393206	0.28250785414241
