"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000000003"	"ENSG00000000003"	-0.159141415184428	7.28465220800909	-1.08267063568046	0.283312110073313	0.400332673574726	-6.76187705810101
"ENSG00000000419"	"ENSG00000000419"	0.720657233064638	6.19819554487179	5.35944534127257	1.41681179712256e-06	1.37594993002364e-05	4.58336668635777
"ENSG00000000457"	"ENSG00000000457"	-1.04899702298782	4.33190539259579	-7.60409352490559	2.40507854277075e-10	6.92232662142732e-09	13.3025868951335
"ENSG00000000460"	"ENSG00000000460"	0.0129795514961307	5.16910691018931	0.095821292024708	0.923983719821847	0.949319797491705	-7.2093269848454
"ENSG00000001036"	"ENSG00000001036"	0.308230176269222	6.21708113716122	2.15700855121403	0.0350450741937542	0.0739816522213569	-5.03032144096538
"ENSG00000001084"	"ENSG00000001084"	0.309383030540477	6.80650581196306	2.93963885330437	0.00466877789934337	0.0138677104280294	-3.22652734967759
"ENSG00000001167"	"ENSG00000001167"	-0.323507756186875	5.19313153724682	-1.96017899001173	0.0546511747054583	0.106089997016775	-5.27625937830096
"ENSG00000001461"	"ENSG00000001461"	-0.663854522820591	3.71214760827556	-2.65157239993362	0.0102470884958741	0.0267645120054465	-3.70928328806698
"ENSG00000001497"	"ENSG00000001497"	0.520049230928136	6.77507184662415	5.71406206066536	3.72684864212553e-07	4.24794783279441e-06	5.85236540161478
"ENSG00000001561"	"ENSG00000001561"	-0.549749356205158	3.17346247327156	-3.07577511995734	0.00316693558845952	0.00998870985213119	-2.45060945277841
"ENSG00000001617"	"ENSG00000001617"	-0.110131252137077	6.61228160108006	-0.481142974954783	0.632175263870927	0.727082701074454	-7.12402811837678
"ENSG00000001629"	"ENSG00000001629"	0.154903633067511	6.45130674848722	1.12618014705189	0.264600018456626	0.380787512594563	-6.65992397342625
"ENSG00000001630"	"ENSG00000001630"	-0.815294353578139	6.14131858592896	-3.12754853109343	0.00272500417502855	0.008777256336197	-2.64935221991895
"ENSG00000001631"	"ENSG00000001631"	0.045652672738144	5.51224517308736	0.372637891751693	0.710738835545376	0.789250238329513	-7.14281665853365
"ENSG00000002330"	"ENSG00000002330"	-0.535085913530099	4.0858899268447	-2.63326845039646	0.0107538764780499	0.0278793787178071	-3.6651427771575
"ENSG00000002549"	"ENSG00000002549"	-1.12712687291888	6.64061248586001	-9.52274731262572	1.39551953197864e-13	1.0055547732523e-11	20.5053329536952
"ENSG00000002822"	"ENSG00000002822"	0.200251487300099	5.75227820424575	1.34294078309961	0.184379223044848	0.285489016696145	-6.31312113174116
"ENSG00000002834"	"ENSG00000002834"	0.193104768390706	9.24284425562326	1.17906340580129	0.243054811444936	0.356047309799348	-6.6770824738245
"ENSG00000002919"	"ENSG00000002919"	-0.591463521585759	5.43057610786751	-7.28218150727426	8.5058593162267e-10	2.09175117886396e-08	11.9292453232755
"ENSG00000003056"	"ENSG00000003056"	-0.184718951625751	8.46124397263212	-1.33472723654086	0.18703826202193	0.288466135589577	-6.48465751953243
"ENSG00000003096"	"ENSG00000003096"	-1.33181903774945	3.401733961567	-6.39744998343528	2.69718448378538e-08	4.23010485858822e-07	8.6970548126201
