"V1" "V1" "V1" "V1" "V1"
"368" "STXBP2" "USP43" "ZNF184" NA NA
"369" "MAP2K7" "PI4K2A" "SYDE2" NA NA
"370" "NMRK2" "GRAMD3" "TMED1" NA NA
"371" "CTTNBP2" "OXA1L" "RAB18" NA NA
"372" "TOP2B" "MIER3" "NRP1" NA NA
"373" "NFKB2" "ZKSCAN2" "TSPAN15" NA NA
"374" "PPP1R12B" "TMEM237" "SETD1A" NA NA
"375" "GTF3C1" "FZD7" "C19orf26" NA NA
"376" "CAPN6" "RRAGA" "TECR" NA NA
"377" "SNRPA" "RMND1" "TIMM13" NA NA
"378" "SIRT6" "EXOG" "CDC34" NA NA
"379" "PHF17" "RBPMS" "CEP170B" NA NA
"380" "FGFR1" "CCNB2" "POLR2E" NA NA
"381" "MAP2" "MYO1E" "MKNK2" NA NA
"382" "PIAS2" "TSC22D3" "RANBP1" NA NA
"383" "AMPH" "PANK4" "KLHL22" NA NA
"384" "ARAF" "C12orf43" "LZTR1" NA NA
"385" "ACER3" "HIST1H2BD" "TBC1D10A" NA NA
"386" "UBE2K" "ZFAND2B" "PPIL2" NA NA
"387" "N4BP2" "HK2" "SNRPD3" NA NA
"388" "PPP2R5C" "CHCHD6" "ADRBK2" NA NA
"389" "GNB1" "CCDC28B" "HPS4" NA NA
"390" "MLLT10" "SSU72" "PIK3IP1" NA NA
"391" "ITM2A" "ANKLE1" "SRRD" NA NA
"392" "TNRC6C" "LSS" "PATZ1" NA NA
"393" "CBFA2T2" "DIP2A" "TFIP11" NA NA
"394" "PKD2L2" "DEDD2" "EIF3L" NA NA
"395" "TOLLIP" "ANO10" "NHP2L1" NA NA
"396" "THOC1" "TONSL" "CENPM" NA NA
"397" "TNS1" "C5orf45" "DMC1" NA NA
"398" "REXO1" "PSMC2" "TOMM22" NA NA
"399" "SENP1" "MPP3" "SUN2" NA NA
"400" "CIC" "TPCN2" "CYB5R3" NA NA
"401" "LIPE" "LZIC" "RHBDD3" NA NA
"402" "EPB41L2" "PDPN" "AP1B1" NA NA
"403" "MOXD1" "RBBP4" "MCAT" NA NA
"404" "RFX3" "NEXN" "THOC5" NA NA
"405" "RIF1" "PUS10" "MCM5" NA NA
"406" "SMARCA2" "CCDC104" "RPL3" NA NA
"407" "SRCAP" "ACTG2" "FOXRED2" NA NA
"408" "PSEN1" "C1orf106" "EIF3D" NA NA
"409" "CLDND1" "GLB1L" "TNRC6B" NA NA
"410" "RBL1" "PPM1K" "IFT27" NA NA
"411" "DLGAP4" "TIPARP" "ST13" NA NA
"412" "NDC80" "MTMR14" "L3MBTL2" NA NA
"413" "RSBN1" "MTHFD2L" "RANGAP1" NA NA
"414" "EXD2" "SLC4A1AP" "ZC3H7B" NA NA
"415" "STK17B" "KIF15" "POLR3H" NA NA
"416" "JMJD4" "SMIM12" "HDAC10" NA NA
"417" "DUSP12" "SNIP1" "POLE2" NA NA
"418" "PHLPP1" "IFT122" "PSMC6" NA NA
"419" "SMARCD3" "RFT1" "CDKN3" NA NA
"420" "FAM135A" "SFMBT1" "PSMA3" NA NA
"421" "DLG3" "AIMP1" "TIMM9" NA NA
"422" "SERTAD4" "BDH2" "GSTZ1" NA NA
"423" "NFE2L1" "PRSS12" "SPTLC2" NA NA
"424" "GSK3B" "MAD2L1" "LGMN" NA NA
"425" "ERC1" "ANXA5" "SNW1" NA NA
"426" "XPO1" "PRMT10" "ITPK1" NA NA
"427" "PALB2" "ELOVL7" "GALNT16" NA NA
"428" "BCKDHB" "PRRC1" "CEP128" NA NA
"429" "KAT6A" "SERINC5" "MTHFD1" NA NA
"430" "ZCCHC6" "STXBP5" "TELO2" NA NA
"431" "ULK2" "ALDH7A1" "VRK1" NA NA
"432" "TNPO1" "VCP" "PSMC1" NA NA
"433" "PIBF1" "BRWD3" "SMEK1" NA NA
"434" "RRAGB" "INPPL1" "C14orf93" NA NA
"435" "CYLD" "PCF11" "CCNB1IP1" NA NA
"436" "ZNF416" "TMEM63C" "TRIP11" NA NA
"437" "ZNF586" "ZFYVE1" "EFS" NA NA
"438" "ZNF264" "PTER" "CINP" NA NA
"439" "FAT1" "PTPLA" "PSMA6" NA NA
"440" "YTHDC1" "SMCO4" "TM9SF1" NA NA
"441" "PPIE" "ZFYVE19" "RABGGTA" NA NA
"442" "ZMPSTE24" "DPCD" "GINS1" NA NA
"443" "STARD7" "ALKBH3" "IFT52" NA NA
"444" "REST" "FRS2" "MYBL2" NA NA
"445" "SSH1" "PCBD1" "C20orf24" NA NA
"446" "TXLNA" "C10orf32" "PABPC1L" NA NA
"447" "AGBL5" "SMPD1" "CSTF1" NA NA
"448" "KIF3C" "CYB5R2" "RAE1" NA NA
"449" "CAD" "RIC3" "SLMO2" NA NA
"450" "BCORL1" "IDH3A" "ARFGAP1" NA NA
"451" "MYNN" "TMX3" "GMEB2" NA NA
"452" "HACE1" "ZCCHC18" "CSNK2A1" NA NA
"453" "SEH1L" "MAP1A" "PLCB4" NA NA
"454" "WDR47" "CERCAM" "TM9SF4" NA NA
"455" "IGSF9" "ENGASE" "NOP56" NA NA
"456" "CTTN" "ACAA2" "JAG1" NA NA
"457" "MTIF2" "STIM1" "FAM83D" NA NA
"458" "TTC39A" "SPINT2" "DHX35" NA NA
"459" "CHERP" "PRDX2" "DNTTIP1" NA NA
"460" "USP40" "ABCA3" "MAP1LC3A" NA NA
"461" "RAD54L" "CDC40" "ADNP2" NA NA
"462" "DNAJA1" "FEN1" "RBFA" NA NA
"463" "B4GALT1" "ADAL" "VAPA" NA NA
"464" "CHMP5" "LCMT2" "SMCHD1" NA NA
"465" "DIMT1" "LRRC28" "MYL12A" NA NA
"466" "IPO11" "TMEM129" "CEP76" NA NA
"467" "EPDR1" "MFF" "RNF125" NA NA
"468" "MRPL28" "COMMD8" "POLI" NA NA
"469" "RBM22" "SDC2" "RBBP8" NA NA
"470" "ZFAND6" "HINT1" "RIOK3" NA NA
"471" "TXLNG" "HEXDC" "POLA1" NA NA
"472" "HUWE1" "RFNG" "NKAP" NA NA
"473" "HSD17B14" "ZNF764" "" NA NA
"474" "PIGS" "CHRNB1" "MOSPD1" NA NA
"475" "SH3BP2" "MRAP" "ATP11C" NA NA
"476" "ADD1" "FAM161A" "SLC25A14" NA NA
"477" "KLHL42" "CMTM8" "FMR1" NA NA
"478" "GNAS" "STX8" "KLHL4" NA NA
"479" "DNM1L" "GPRC5C" "ARMCX3" NA NA
"480" "PIR" "PA2G4" "FNDC3A" NA NA
"481" "AAMDC" "SMAGP" "CAB39L" NA NA
"482" "PTPN4" "TMEM43" "UGGT2" NA NA
"483" "TPX2" "GSTA4" "PARP4" NA NA
"484" "DOCK3" "PAQR8" "SUPT20H" NA NA
"485" "C3orf18" "ZNF160" "CLN5" NA NA
"486" "KIF9" "FEZ2" "ACD" NA NA
"487" "ARHGAP28" "SOCS5" "ZNF821" NA NA
"488" "CRLS1" "CXXC5" "USB1" NA NA
"489" "PPP1R13B" "PLEKHG5" "PSMD7" NA NA
"490" "NSFL1C" "VAT1L" "SETD6" NA NA
"491" "MAVS" "BCL2" "SLC7A6" NA NA
"492" "" "EXOSC10" "WDR59" NA NA
"493" "TESC" "FRMD5" "CMC2" NA NA
"494" "ESF1" "KLF11" "NPRL3" NA NA
"495" "DZANK1" "MTBP" "TAF1C" NA NA
"496" "TASP1" "ALG14" "USP10" NA NA
"497" "IGBP1" "AFF1" "ABCC1" NA NA
"498" "CDIP1" "DMXL1" "CLCN7" NA NA
"499" "BIRC5" "METAP1D" "SLC7A5" NA NA
"500" "DDX24" "NBEA" "GGA2" NA NA
"501" "ZBTB25" "CCDC106" "DNAJA3" NA NA
"502" "NECAP1" "PSMD1" "CORO7-PAM16" NA NA
"503" "ARHGAP4" "TOMM20" "BCKDK" NA NA
"504" "GPATCH2L" "MARCH3" "LACTB" NA NA
"505" "LTBP4" "PIGG" "IGDCC4" NA NA
"506" "SLC9A1" "ZNHIT2" "FAH" NA NA
"507" "PAPOLA" "IQCK" "TMEM87A" NA NA
"508" "CCNK" "NR1D2" "SCG3" NA NA
"509" "NDUFB2" "CD248" "DNAJC17" NA NA
"510" "MAEA" "DENND6A" "EIF3J" NA NA
"511" "MUL1" "DOLK" "OIP5" NA NA
"512" "PDCD7" "CCDC85B" "ZFAND1" NA NA
"513" "GNPTG" "AIM1L" "EYA1" NA NA
"514" "EFNB1" "KCMF1" "TRPA1" NA NA
"515" "AARS" "PPFIA3" "SFRP1" NA NA
"516" "TNRC6A" "PVRL3" "LAPTM4B" NA NA
"517" "PLEKHG2" "FAM211B" "GDAP1" NA NA
"518" "NAT14" "DALRD3" "RAB2A" NA NA
"519" "RBM27" "TMEM11" "EIF3E" NA NA
"520" "OSBPL8" "SLC25A20" "ZC2HC1A" NA NA
"521" "NRCAM" "AURKB" "TRPS1" NA NA
"522" "DLD" "NSUN7" "SNX16" NA NA
"523" "TXNL1" "C14orf28" "EEF1D" NA NA
"524" "CMTM6" "PCBP1-AS1" "SLC39A14" NA NA
"525" "ITGA6" "TRNAU1AP" "DCTN6" NA NA
"526" "CDV3" "HIST1H2AC" "ERICH1" NA NA
"527" "ANGPT2" "PCGF5" "NEFL" NA NA
"528" "TMEM101" "AEN" "ASAH1" NA NA
"529" "JPH4" "TMEM102" "MAN2B1" NA NA
"530" "SLC22A17" "FANCB" "PIH1D1" NA NA
"531" "RNF31" "YIPF6" "ERCC2" NA NA
"532" "HECTD1" "RFX7" "PLEKHJ1" NA NA
"533" "GEMIN2" "TNRC18" "RNASEH2A" NA NA
"534" "PHGDH" "LYSMD4" "OAZ1" NA NA
"535" "EZR" "AFMID" "SGTA" NA NA
"536" "AGO1" "DDX41" "IL27RA" NA NA
"537" "NUP50" "" "ASF1B" NA NA
"538" "CDC45" "FHL3" "VRK3" NA NA
"539" "COMT" "ZNRF3" "FAM32A" NA NA
"540" "" "PTP4A2" "PPP6R1" NA NA
"541" "LRRFIP2" "POU6F1" "AKAP8" NA NA
"542" "CBX5" "TSSC4" "ILVBL" NA NA
"543" "MSH2" "PLA2G6" "SLC1A6" NA NA
"544" "DHPS" "SS18L1" "ANKRD27" NA NA
"545" "ARCN1" "WDR27" "RPS16" NA NA
"546" "PSMD5" "PDE4B" "TIMM50" NA NA
"547" "SH2D3C" "FAM43A" "GPI" NA NA
"548" "SEMA4G" "INPP5J" "PLD3" NA NA
"549" "BTAF1" "DDX51" "NUMBL" NA NA
"550" "SORBS1" "SIGIRR" "CCDC94" NA NA
"551" "BAMBI" "CXorf38" "TBCB" NA NA
"552" "WAC" "" "POLR2I" NA NA
"553" "CREM" "KIF18B" "CACTIN" NA NA
"554" "HIVEP1" "TRDN" "FZR1" NA NA
"555" "SRPK1" "SPATA21" "BBC3" NA NA
"556" "BRPF3" "COL4A1" "PLIN3" NA NA
"557" "EFHC1" "THSD4" "NAPA" NA NA
"558" "DSP" "FANCA" "ATP1A3" NA NA
"559" "HNRNPH3" "CCDC157" "MEGF8" NA NA
"560" "IFT74" "CPSF4L" "CLEC11A" NA NA
"561" "ABL1" "" "" NA NA
"562" "CDC7" "BLOC1S5" "MIER2" NA NA
"563" "PCSK5" "NBR1" "PPP2R1A" NA NA
"564" "ABLIM1" "NANOS1" "WDR83OS" NA NA
"565" "H2AFY2" "PARVB" "PRPF31" NA NA
"566" "MZF1" "S100A13" "COPE" NA NA
"567" "BCL7C" "SH2D5" "GAPDHS" NA NA
"568" "EFNA2" "TMEM63A" "SUGP1" NA NA
"569" "NDUFB7" "ASB13" "ZNF85" NA NA
"570" "ARVCF" "TSC22D2" "SMG9" NA NA
"571" "TRMT2A" "ANAPC7" "AVL9" NA NA
"572" "CRKL" "CD47" "PMPCB" NA NA
"573" "CECR2" "ANXA4" "NAMPT" NA NA
"574" "BCL2L13" "RAD54B" "PON2" NA NA
"575" "SF3A1" "SLC22A5" "DUS4L" NA NA
"576" "RNF215" "ATG7" "CAV2" NA NA
"577" "MAPK1" "FAM118B" "BRAT1" NA NA
"578" "DGCR14" "OCLN" "SSBP1" NA NA
"579" "CARD10" "ZNF677" "CPVL" NA NA
"580" "GGA1" "MPZL1" "GRB10" NA NA
"581" "SH3BP1" "RPS4X" "ABHD11" NA NA
"582" "SEZ6L" "HIBCH" "NOD1" NA NA
"583" "LGALS1" "HSD17B11" "CHCHD2" NA NA
"584" "ANKRD54" "HELZ" "HSPB1" NA NA
"585" "TTC28" "NUDT16" "PDAP1" NA NA
"586" "SEPT3" "ZNF277" "EIF3B" NA NA
"587" "TCF20" "SMG5" "MOSPD3" NA NA
"588" "CBY1" "SNORD36A" "RBM28" NA NA
"589" "XBP1" "BAG6" "IMPDH1" NA NA
"590" "RTCB" "CCHCR1" "AP1S1" NA NA
"591" "JOSD1" "TRIM39" "C1GALT1" NA NA
"592" "FBXO7" "ZBTB48" "PLOD3" NA NA
"593" "GTPBP1" "LIN52" "PHF14" NA NA
"594" "POLDIP3" "GPC2" "EZH2" NA NA
"595" "PPP6R2" "AP1G2" "ZNF862" NA NA
"596" "SBF1" "ZNF891" "ANKMY2" NA NA
"597" "LMF2" "LYRM4" "CHCHD3" NA NA
"598" "TTLL1" "BBIP1" "MRPL32" NA NA
"599" "HMGXB4" "PPME1" "COA1" NA NA
"600" "TTLL12" "FASTKD5" "BLVRA" NA NA
"601" "ZMAT5" "TNFRSF25" "URGCP" NA NA
"602" "RBFOX2" "VPS52" "TMEM248" NA NA
"603" "ASCC2" "SNHG14" "RHEB" NA NA
"604" "MTMR3" "" "POLD2" NA NA
"605" "MIEF1" "FAM200B" "TBL2" NA NA
"606" "SAMM50" "ADSL" "CLIP2" NA NA
"607" "TXN2" "C4orf48" "EIF4H" NA NA
"608" "SGSM3" "NFS1" "NMRK1" NA NA
"609" "KIAA0930" "C7orf13" "TGFBR1" NA NA
"610" "FAM118A" "UBE2V1" "SEC61B" NA NA
"611" "KCTD17" "AP5B1" "KANK1" NA NA
"612" "RBX1" "" "FUBP3" NA NA
"613" "EP300" "" "DDX58" NA NA
"614" "PMM1" "" "EDF1" NA NA
"615" "CERK" "DYX1C1" "CCNJ" NA NA
"616" "BRD1" "POLG2" "HPS1" NA NA
"617" "ABHD4" "" "ERLIN1" NA NA
"618" "FKBP3" "RTEL1" "CCSER2" NA NA
"619" "SOS2" "" "FBXW4" NA NA
"620" "NIN" NA "ARHGAP21" NA NA
"621" "CNIH1" NA "CUEDC2" NA NA
"622" "TMED8" NA "LHPP" NA NA
"623" "DHRS7" NA "GTPBP4" NA NA
"624" "ERH" NA "BCCIP" NA NA
"625" "SRSF5" NA "PITRM1" NA NA
"626" "EIF5" NA "GLRX3" NA NA
"627" "DICER1" NA "XPNPEP1" NA NA
"628" "ZC3H14" NA "CUL2" NA NA
"629" "PCNX" NA "PPIF" NA NA
"630" "PSMB5" NA "PBLD" NA NA
"631" "ACIN1" NA "DHRS11" NA NA
"632" "APEX1" NA "PSMB3" NA NA
"633" "PABPN1" NA "RAD51C" NA NA
"634" "DHRS2" NA "TUBD1" NA NA
"635" "CHD8" NA "GALK1" NA NA
"636" "DCAF11" NA "INTS2" NA NA
"637" "EMC9" NA "ENO3" NA NA
"638" "PSME2" NA "RNF167" NA NA
"639" "BRMS1L" NA "NUP88" NA NA
"640" "SEC23A" NA "C1QBP" NA NA
"641" "PNN" NA "GOSR1" NA NA
"642" "NFATC4" NA "CCDC47" NA NA
"643" "GSS" NA "DRG2" NA NA
"644" "PYGB" NA "SMARCD2" NA NA
"645" "PROCR" NA "UTP6" NA NA
"646" "NINL" NA "PSMD11" NA NA
"647" "ZMYND8" NA "HSD17B1" NA NA
"648" "SLA2" NA "CNTNAP1" NA NA
"649" "STK4" NA "LRRC59" NA NA
"650" "SALL4" NA "RND2" NA NA
"651" "TPD52L2" NA "EFTUD2" NA NA
"652" "NELFCD" NA "YWHAE" NA NA
"653" "PRPF6" NA "DPH1" NA NA
"654" "MTG2" NA "DHRS7B" NA NA
"655" "SLCO4A1" NA "WSB1" NA NA
"656" "MRGBP" NA "TMEM104" NA NA
"657" "TCFL5" NA "TMEM97" NA NA
"658" "DIDO1" NA "SUPT6H" NA NA
"659" "GID8" NA "RAB34" NA NA
"660" "NDUFAF5" NA "USP46" NA NA
"661" "HM13" NA "UBE2D3" NA NA
"662" "SEC23B" NA "TBC1D9" NA NA
"663" "MYL9" NA "GRPEL1" NA NA
"664" "CRNKL1" NA "GAR1" NA NA
"665" "POFUT1" NA "GALNT7" NA NA
"666" "KIF3B" NA "NEIL3" NA NA
"667" "MANBAL" NA "WHSC1" NA NA
"668" "CDK5RAP1" NA "STIM2" NA NA
"669" "TTI1" NA "UGDH" NA NA
"670" "E2F1" NA "CTSC" NA NA
"671" "RPRD1B" NA "ELP4" NA NA
"672" "APMAP" NA "MTCH2" NA NA
"673" "ZNF516" NA "SC5D" NA NA
"674" "USP14" NA "VWA5A" NA NA
"675" "METTL4" NA "UNC93B1" NA NA
"676" "RNMT" NA "PUS3" NA NA
"677" "ANKRD12" NA "CPT1A" NA NA
"678" "MIB1" NA "PRPF19" NA NA
"679" "PSMD10" NA "TMEM109" NA NA
"680" "TBL1X" NA "ANAPC15" NA NA
"681" "PGRMC1" NA "PANX1" NA NA
"682" "MID1" NA "ARHGEF17" NA NA
"683" "NXT2" NA "RNF141" NA NA
"684" "CHRDL1" NA "EIF4G2" NA NA
"685" "WDR13" NA "GALNT18" NA NA
"686" "STAG2" NA "PTPMT1" NA NA
"687" "PLS3" NA "PITPNM1" NA NA
"688" "MTMR8" NA "RPS13" NA NA
"689" "RBBP7" NA "LEPREL2" NA NA
"690" "SCML2" NA "ASIC1" NA NA
"691" "SLC35A2" NA "KCTD10" NA NA
"692" "MAGT1" NA "CAMKK2" NA NA
"693" "UBL4A" NA "PTGES3" NA NA
"694" "CD99L2" NA "PPM1H" NA NA
"695" "RP2" NA "MAGOHB" NA NA
"696" "PHF16" NA "ITFG2" NA NA
"697" "CDK16" NA "CREBL2" NA NA
"698" "PCYT1B" NA "ACAD10" NA NA
"699" "HTATSF1" NA "GTF2H3" NA NA
"700" "GABRE" NA "EIF2B1" NA NA
"701" "FGD1" NA "DDX55" NA NA
"702" "MAGED2" NA "SLC38A1" NA NA
"703" "RBM3" NA "CAND1" NA NA
"704" "KLF8" NA "NUP107" NA NA
"705" "CENPI" NA "CNOT2" NA NA
"706" "GLA" NA "KRR1" NA NA
"707" "NDFIP2" NA "GAPDH" NA NA
"708" "STK24" NA "CDCA3" NA NA
"709" "DNAJC3" NA "CHPT1" NA NA
"710" "KPNA3" NA "ENO2" NA NA
"711" "ELMO3" NA "ATN1" NA NA
"712" "PHKB" NA "SUDS3" NA NA
"713" "NFAT5" NA "GOLT1B" NA NA
"714" "LONP2" NA "PRKAB1" NA NA
"715" "CBLN1" NA "CMAS" NA NA
"716" "ZNF423" NA "TMEM14C" NA NA
"717" "DHODH" NA "PAK1IP1" NA NA
"718" "CTCF" NA "FAM184A" NA NA
"719" "POLR2C" NA "NCOA7" NA NA
"720" "NME3" NA "SOD2" NA NA
"721" "SLC38A7" NA "RNF8" NA NA
"722" "VAC14" NA "SAYSD1" NA NA
"723" "TANGO6" NA "BACH2" NA NA
"724" "SLC7A6OS" NA "RBM24" NA NA
"725" "PLA2G15" NA "CAP2" NA NA
"726" "ESRP2" NA "FBXL4" NA NA
"727" "AXIN1" NA "ALDH5A1" NA NA
"728" "MPG" NA "PERP" NA NA
"729" "CRISPLD2" NA "EPM2A" NA NA
"730" "ZNF500" NA "FAM120B" NA NA
"731" "NARFL" NA "TBP" NA NA
"732" "MTHFSD" NA "EXOC2" NA NA
"733" "HAGHL" NA "TTK" NA NA
"734" "FBXO31" NA "ERBB2IP" NA NA
"735" "STUB1" NA "PCDHB2" NA NA
"736" "NUBP1" NA "CEP72" NA NA
"737" "UBE2I" NA "HSPA9" NA NA
"738" "EEF2K" NA "MRPS27" NA NA
"739" "CLUAP1" NA "PFDN1" NA NA
"740" "UBFD1" NA "HBEGF" NA NA
"741" "CPPED1" NA "APBB3" NA NA
"742" "USP31" NA "TMCO6" NA NA
"743" "HMOX2" NA "IK" NA NA
"744" "RBL2" NA "THG1L" NA NA
"745" "RPGRIP1L" NA "ARSB" NA NA
"746" "MAZ" NA "DROSHA" NA NA
"747" "STX4" NA "RAD50" NA NA
"748" "HERC1" NA "ST8SIA4" NA NA
"749" "TRIP4" NA "GNPDA1" NA NA
"750" "RASL12" NA "SKP1" NA NA
"751" "CD276" NA "PPP2CA" NA NA
"752" "RPAP1" NA "RARS" NA NA
"753" "HOMER2" NA "H2AFY" NA NA
"754" "EHD4" NA "DPYSL3" NA NA
"755" "ZNF106" NA "BNIP1" NA NA
"756" "CEP152" NA "STC2" NA NA
"757" "FAM189A1" NA "DBN1" NA NA
"758" "TJP1" NA "EHHADH" NA NA
"759" "SPG11" NA "ACTR8" NA NA
"760" "VPS18" NA "PCCB" NA NA
"761" "BLOC1S6" NA "ARMC8" NA NA
"762" "SGK3" NA "RNF7" NA NA
"763" "BRF2" NA "TFDP2" NA NA
"764" "TRIM35" NA "FXR1" NA NA
"765" "CA2" NA "GNB4" NA NA
"766" "FZD3" NA "NCBP2" NA NA
"767" "INTS9" NA "SLC41A3" NA NA
"768" "IMPAD1" NA "CSPG5" NA NA
"769" "UBE2W" NA "PLSCR4" NA NA
"770" "POP1" NA "HEMK1" NA NA
"771" "IKBKB" NA "WDR48" NA NA
"772" "STK3" NA "RRP9" NA NA
"773" "ESRP1" NA "NEK4" NA NA
"774" "ARMC1" NA "EEF1B2" NA NA
"775" "CHRAC1" NA "ADAM23" NA NA
"776" "UBR5" NA "TTL" NA NA
"777" "PYCRL" NA "SLC35F5" NA NA
"778" "INTS10" NA "EPB41L5" NA NA
"779" "ERI1" NA "" NA NA
"780" "MTMR9" NA "TP53I3" NA NA
"781" "LEPROTL1" NA "STAM2" NA NA
"782" "R3HCC1" NA "PPM1G" NA NA
"783" "GSR" NA "GCA" NA NA
"784" "UBXN8" NA "TTC31" NA NA
"785" "MCM4" NA "GRB14" NA NA
"786" "BNIP3L" NA "RTN4" NA NA
"787" "SNRNP70" NA "WDR75" NA NA
"788" "RELB" NA "FN1" NA NA
"789" "FCGRT" NA "STAT1" NA NA
"790" "PPP1R13L" NA "ST3GAL5" NA NA
"791" "DOT1L" NA "PLCD4" NA NA
"792" "KLC3" NA "ABCB6" NA NA
"793" "SF3A2" NA "STK16" NA NA
"794" "TRMT1" NA "HDLBP" NA NA
"795" "MED25" NA "PPP1R7" NA NA
"796" "TIMM44" NA "STRN" NA NA
"797" "TNNT1" NA "CEBPZ" NA NA
"798" "C19orf44" NA "PNO1" NA NA
"799" "OLFM2" NA "C2orf42" NA NA
"800" "EPHX3" NA "FARSB" NA NA
"801" "URI1" NA "CACYBP" NA NA
"802" "FBL" NA "TMEM59" NA NA
"803" "PIAS4" NA "WRAP73" NA NA
"804" "CLIP3" NA "MRPL37" NA NA
"805" "PRKD2" NA "ERRFI1" NA NA
"806" "CCDC9" NA "SRSF4" NA NA
"807" "HNRNPUL1" NA "KCNC4" NA NA
"808" "DENND3" NA "S100PBP" NA NA
"809" "MYH14" NA "RHOU" NA NA
"810" "GLTSCR2" NA "FBXO2" NA NA
"811" "BABAM1" NA "SWT1" NA NA
"812" "CDC37" NA "MAD2L2" NA NA
"813" "RABAC1" NA "MIIP" NA NA
"814" "KDELR1" NA "SLC35D1" NA NA
"815" "CYTH2" NA "RGS2" NA NA
"816" "LIG1" NA "NR5A2" NA NA
"817" "RAB3D" NA "MRPS15" NA NA
"818" "PLEKHA4" NA "TSNAX" NA NA
"819" "LENG1" NA "NID1" NA NA
"820" "TFPT" NA "RIMS3" NA NA
"821" "ARRDC2" NA "ACADM" NA NA
"822" "PIK3R2" NA "PADI2" NA NA
"823" "ISYNA1" NA "MFAP2" NA NA
"824" "ELL" NA "IGSF21" NA NA
"825" "CRTC1" NA "TXNIP" NA NA
"826" "ARMC6" NA "HMGCL" NA NA
"827" "TMEM59L" NA "GALE" NA NA
"828" "USF2" NA "EBNA1BP2" NA NA
"829" "LSR" NA "ATP6V0B" NA NA
"830" "KXD1" NA "B4GALT2" NA NA
"831" "FKBP8" NA "NSUN4" NA NA
"832" "HPN" NA "CNN3" NA NA
"833" "ERF" NA "ABCD3" NA NA
"834" "GSK3A" NA "IRF6" NA NA
"835" "ZNF574" NA "MTFR1L" NA NA
"836" "GRIK5" NA "MAN1C1" NA NA
"837" "C7orf63" NA "NEK2" NA NA
"838" "GTPBP10" NA "RPS6KA1" NA NA
"839" "CDK6" NA "TXNDC12" NA NA
"840" "DNAJC2" NA "CTSD" NA NA
"841" "TFPI2" NA "STK11" NA NA
"842" "SP4" NA "IFT46" NA NA
"843" "WDR91" NA "KIF14" NA NA
"844" "MTPN" NA "DDX59" NA NA
"845" "ZC3HAV1" NA "MREG" NA NA
"846" "H2AFV" NA "SPCS2" NA NA
"847" "MET" NA "RAB32" NA NA
"848" "LMBR1" NA "SGK1" NA NA
"849" "IQCE" NA "RNF146" NA NA
"850" "TSPAN12" NA "FBXL5" NA NA
"851" "TAX1BP1" NA "MED28" NA NA
"852" "FKBP14" NA "ARMC2" NA NA
"853" "PLEKHA8" NA "TGIF2" NA NA
"854" "GARS" NA "RAB3GAP2" NA NA
"855" "NPTX2" NA "C2orf43" NA NA
"856" "BUD31" NA "CYP20A1" NA NA
"857" "ZKSCAN1" NA "CPSF3" NA NA
"858" "TAF6" NA "CCDC92" NA NA
"859" "WASL" NA "HEATR1" NA NA
"860" "USP42" NA "RAD23B" NA NA
"861" "LSM5" NA "SET" NA NA
"862" "RPA3" NA "PHF19" NA NA
"863" "CLDN15" NA "NEK6" NA NA
"864" "NRF1" NA "NDUFA8" NA NA
"865" "TMEM106B" NA "ALG2" NA NA
"866" "CEP41" NA "FCF1" NA NA
"867" "AHR" NA "NEK9" NA NA
"868" "GLI3" NA "NPC2" NA NA
"869" "MYL7" NA "DNAL1" NA NA
"870" "BCL7B" NA "LTBP2" NA NA
"871" "YKT6" NA "MLH3" NA NA
"872" "FKTN" NA "ABCD4" NA NA
"873" "FSD1L" NA "DLST" NA NA
"874" "PRUNE2" NA "SLIRP" NA NA
"875" "TRIM14" NA "COQ6" NA NA
"876" "TLE4" NA "GPR75" NA NA
"877" "DNM1" NA "TMEM214" NA NA
"878" "ENG" NA "YIPF4" NA NA
"879" "CDC37L1" NA "LGALSL" NA NA
"880" "KIAA1432" NA "CRIPT" NA NA
"881" "TESK1" NA "GPAM" NA NA
"882" "CREB3" NA "SMNDC1" NA NA
"883" "NPDC1" NA "HELLS" NA NA
"884" "SETX" NA "TCTN3" NA NA
"885" "ZFAND5" NA "FAM45A" NA NA
"886" "DVL1" NA "AVPI1" NA NA
"887" "RAB11FIP2" NA "NUP43" NA NA
"888" "EIF3A" NA "PCMT1" NA NA
"889" "SEC23IP" NA "WDR55" NA NA
"890" "ATE1" NA "ACAT2" NA NA
"891" "NSMCE4A" NA "PDZD11" NA NA
"892" "PLEKHA1" NA "NUDCD1" NA NA
"893" "CDH23" NA "PLXDC2" NA NA
"894" "MICU1" NA "UFM1" NA NA
"895" "PPP3CB" NA "EXOSC8" NA NA
"896" "MINPP1" NA "ETF1" NA NA
"897" "C10orf2" NA "SIL1" NA NA
"898" "LZTS2" NA "ZFP30" NA NA
"899" "FGF8" NA "UTP20" NA NA
"900" "TNKS2" NA "MTERFD3" NA NA
"901" "GBF1" NA "CCDC53" NA NA
"902" "ANKRD26" NA "TNFRSF10B" NA NA
"903" "LARP4B" NA "SORBS3" NA NA
"904" "C10orf137" NA "PTK2B" NA NA
"905" "OBFC1" NA "EPHX2" NA NA
"906" "FAM208B" NA "TARDBP" NA NA
"907" "SMC3" NA "TNFRSF8" NA NA
"908" "TFAM" NA "LYPLA1" NA NA
