"V1" "V1" "V1" "V1" "V1"
"84" "EXTL3" "ERMP1" "SERPINB1" "PMP22" "SMAP1"
"85" "NUB1" "ZDHHC8" "RTFDC1" "NFKB1" "NIT2"
"86" "RWDD2A" "DDT" "NDUFS1" "MAPK10" "WNT5A"
"87" "POLA2" "PPM1F" "ERP44" "CPE" "ARHGEF26"
"88" "ZC3H3" "TOP3B" "SNAPC1" "B3GAT1" "VIPR1"
"89" "CCDC88C" "CCDC134" "DEPDC1" "CCKBR" "SNX17"
"90" "BID" "TSPO" "PRKCH" "CHKA" "ELMOD3"
"91" "MATR3" "GNPNAT1" "BRD9" "VWF" "MLPH"
"92" "GLT8D1" "KIAA0586" "SNX1" "SCNN1A" "RALGPS2"
"93" "ATP2C1" "KIAA0247" "TBPL1" "MDM1" "PRPF3"
"94" "WWTR1" "GSKIP" "ARNTL2" "TPD52L1" "WDR35"
"95" "AGPS" "YY1" "GRN" "UST" "FBXW2"
"96" "ATP1A2" "SRP54" "RANBP3" "COL9A1" "IFI27L2"
"97" "PRDM11" "CD40" "IFT88" "WASF1" "IFT43"
"98" "CD74" "RIMS4" "ALG1" "DUSP22" "OGFRL1"
"99" "ZRANB1" "WFDC2" "PEX3" "NNT" "CCDC77"
"100" "MRE11A" "CDH20" "SH3YL1" "RASGRF2" "B4GALT4"
"101" "PLEKHB1" "GPR143" "FAM136A" "PDE4D" "PEX16"
"102" "SPAST" "PRPS2" "USP2" "PDGFRB" "KIAA1549"
"103" "CPS1" "AMMECR1" "NSUN2" "GBE1" "TRIM24"
"104" "FHL1" "PGK1" "FBXO42" "EIF1B" "PKN1"
"105" "SLC45A4" "MGRN1" "MRI1" "KANSL3" "WDR83"
"106" "RNF10" "MMP15" "AGA" "NDUFS7" "PDE1B"
"107" "RB1CC1" "NAGPA" "CDH1" "GLS" "OBSL1"
"108" "ALAS1" "CRYM" "SKIV2L2" "WDR77" "RAB17"
"109" "STRAP" "KAT8" "PQLC2" "WLS" "ATP5S"
"110" "GCLM" "SYT17" "LSG1" "PLEKHM2" "PPDPF"
"111" "UBR2" "C16orf62" "PARP3" "MYCL" "GRIA3"
"112" "EHD2" "TTC23" "TNC" "SLC35A3" "RRBP1"
"113" "CCDC28A" "DMXL2" "ZIC2" "GALNT12" "DOCK4"
"114" "PHF20" "MYEF2" "GEMIN8" "ALDH6A1" "CCDC136"
"115" "NCAPH2" "DECR1" "PREX2" "ATL2" "PARP2"
"116" "KPNA6" "CALB1" "TPR" "DUSP1" "DAD1"
"117" "RTEL1-TNFRSF6B" "TSTA3" "MAP4" "MYCT1" ""
"118" "VEZT" "TUSC3" "GOPC" "PDLIM2" "TRPM4"
"119" "BCLAF1" "STX10" "RRM2B" "LRAT" "MAP3K10"
"120" "SLC39A9" "CCDC130" "KITLG" "PDZRN3" "SLC35D2"
"121" "ANK1" "SYDE1" "VAMP3" "POLR3GL" "MGAT1"
"122" "TFB1M" "POP4" "PER3" "CSMD2" "VIMP"
"123" "RABEP1" "FSD1" "CLPTM1L" "NAA60" "BTBD3"
"124" "HMGB3" "ATP5SL" "NEDD4L" "CALD1" "MTL5"
"125" "NUP160" "TYK2" "HEXB" "RASSF8" "INADL"
"126" "IKZF2" "TMEM205" "PTCD2" "LRP1" "CNDP2"
"127" "FAM13B" "DDX49" "DKK3" "SLC36A1" "LRRCC1"
"128" "ZCCHC8" "CADM4" "MCUR1" "SDC4" "HSD17B4"
"129" "CHPF2" "OGDH" "POLQ" "PEPD" "ARL8B"
"130" "PIAS1" "PCOLCE" "CYBA" "NRSN2" "GNL2"
"131" "TMSB10" "AEBP1" "HEBP2" "SGPP1" "HOOK1"
"132" "GABARAPL2" "SLC1A1" "PLEKHA5" "PNKD" "ERCC5"
"133" "VCL" "KDM4C" "RRP12" "KDR" "KCNK1"
"134" "TIMP2" "MPDZ" "MRTO4" "VGF" "COG2"
"135" "RFC1" "PHYH" "TRAPPC3" "NDUFA5" "PLXNC1"
